split,seed,scope,metric,legacy,masked,delta_masked_minus_legacy
val,42,overall,all_spearman,0.8069542070634517,0.7960677323835095,-0.010886474679942193
val,42,overall,all_pearson,0.8217769886112943,0.8062921419593552,-0.015484846651939166
val,42,overall,all_rmse,0.8993258355318824,0.9427407649898532,0.04341492945797076
val,42,overall,exact_spearman,0.7937154127737764,0.7760099020145063,-0.017705510759270182
val,42,overall,exact_pearson,0.7851675701154086,0.7668666467595394,-0.018300923355869192
val,42,overall,exact_rmse,0.9447523400568445,0.987506020270988,0.0427536802141435
val,42,overall,threshold_500nm_accuracy,0.8720324261725536,0.8540822235089751,-0.017950202663578496
val,42,overall,threshold_500nm_balanced_accuracy,0.8721331823466851,0.8561142704424349,-0.0160189119042502
val,42,overall,threshold_500nm_precision,0.8302631578947368,0.8,-0.03026315789473677
val,42,overall,threshold_500nm_recall,0.8727524204702628,0.8686030428769018,-0.004149377593360981
val,42,overall,threshold_500nm_f1,0.8509777478084963,0.8328912466843502,-0.018086501124146115
val,42,overall,threshold_500nm_auroc,0.9355585954935445,0.9253959266667768,-0.01016266882676764
val,42,overall,threshold_500nm_auprc,0.9027911204527826,0.8791519535346374,-0.02363916691814527
val,42,single,all_spearman,0.7842325418032562,0.7767105926626732,-0.0075219491405830174
val,42,single,all_pearson,0.8169836466303817,0.794092043229715,-0.02289160340066665
val,42,single,all_rmse,0.8861449617589352,0.9319194160174369,0.045774454258501684
val,42,single,exact_spearman,0.7997175795939474,0.7882297600810504,-0.011487819512897013
val,42,single,exact_pearson,0.8118211538668899,0.7874230807785951,-0.02439807308829478
val,42,single,exact_rmse,0.8775201597597222,0.9224720197209698,0.04495185996124762
val,42,single,threshold_500nm_accuracy,0.8721518987341772,0.8430379746835444,-0.029113924050632844
val,42,single,threshold_500nm_balanced_accuracy,0.8651525779185354,0.8403157126561382,-0.024836865262397145
val,42,single,threshold_500nm_precision,0.7986111111111112,0.7442622950819672,-0.05434881602914399
val,42,single,threshold_500nm_recall,0.8424908424908425,0.8315018315018315,-0.01098901098901095
val,42,single,threshold_500nm_f1,0.8199643493761141,0.7854671280276817,-0.03449722134843236
val,42,single,threshold_500nm_auroc,0.939900525006908,0.9250430420643186,-0.014857482942589373
val,42,single,threshold_500nm_auprc,0.8941191676219601,0.850096237845786,-0.04402292977617406
val,42,flanks_agree,all_spearman,0.7684195624502499,0.7651736177679672,-0.0032459446822826754
val,42,flanks_agree,all_pearson,0.7885104573348438,0.7950987498520943,0.00658829251725046
val,42,flanks_agree,all_rmse,0.9989869545005375,0.9839101056059647,-0.015076848894572836
val,42,flanks_agree,exact_spearman,0.6186234980797398,0.6120517346388635,-0.006571763440876288
val,42,flanks_agree,exact_pearson,0.6416077761983728,0.651479301553289,0.0098715253549162
val,42,flanks_agree,exact_rmse,1.0807426829237803,1.0619237492110956,-0.018818933712684727
val,42,flanks_agree,threshold_500nm_accuracy,0.8432203389830508,0.8432203389830508,0.0
val,42,flanks_agree,threshold_500nm_balanced_accuracy,0.8362016908212561,0.8322765700483092,-0.003925120772946822
