run_id,label,epoch,train_loss,val_loss,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,display_label
a0201-a2402-direct-balanced-peptide-only-20260308d,a0201-a2402-direct-balanced-peptide-only-20260308d,8,4.232985198497772,4.37653923034668,,,,a0201-a2402-direct-balanced-peptide-only-20260308d
a0201-a2402-direct-balanced-peptide-only-20260308d,a0201-a2402-direct-balanced-peptide-only-20260308d,9,4.184067249298096,7.20114803314209,,,,a0201-a2402-direct-balanced-peptide-only-20260308d
a0201-a2402-direct-balanced-peptide-only-20260308d,a0201-a2402-direct-balanced-peptide-only-20260308d,10,5.5164183378219604,5.538541793823242,,,,a0201-a2402-direct-balanced-peptide-only-20260308d
a0201-a2402-direct-balanced-peptide-only-20260308d,a0201-a2402-direct-balanced-peptide-only-20260308d,11,3.8295575380325317,5.982016563415527,,,,a0201-a2402-direct-balanced-peptide-only-20260308d
a0201-a2402-direct-balanced-peptide-only-20260308d,a0201-a2402-direct-balanced-peptide-only-20260308d,12,3.994905561208725,3.1923131942749023,,,,a0201-a2402-direct-balanced-peptide-only-20260308d
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,1,8.13019597530365,6.5027899742126465,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,2,6.561178684234619,5.368359088897705,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,3,5.41011643409729,4.994827747344971,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,4,4.993184924125671,4.978397369384766,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,5,4.795562028884888,5.034134864807129,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,6,4.766756534576416,5.099015712738037,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,7,4.5803539752960205,4.7736711502075195,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,8,4.453097581863403,4.561161518096924,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,9,4.46576464176178,4.446743488311768,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,10,4.24513578414917,3.1833510398864746,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
