run_id,label,epoch,epoch_time_s,train_grad_norm_output,train_loss,train_loss_censor_nll,train_loss_gaussian_nll,train_mean_sigma,train_n_censored,train_n_exact,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_f1,val_loss,val_n_samples,val_pearson,val_precision,val_recall,val_rmse_log10,val_spearman,train_crossing_penalty,train_loss_q10,train_loss_q25,train_loss_q50,train_loss_q75,train_loss_q90,display_label
dist-ba-v2-c05,c05_gaussian_affine_max50k,1,5.46,3.8573426630838896,2.5443024210227554,1.2988367126893627,2.9937421721081403,5.231934987297354,67.51162790697674,186.7906976744186,0.7832217812538147,0.7308218479156494,0.8407663106918335,0.7639133632183075,0.6926465620814242,1.983755434260649,4184,0.637712836265564,0.68544602394104,0.699999988079071,1.1279239654541016,0.6387152671813965,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,2,4.38,1.8699643496395082,1.9829233561375343,0.8033486207326254,2.409277452054874,2.876577613889709,67.51162790697674,186.7906976744186,0.7915869951248169,0.7645289301872253,0.8571181297302246,0.7766942381858826,0.7089452616656542,1.939395266420701,4184,0.6716839671134949,0.69140625,0.7273972630500793,1.0998998880386353,0.66893070936203,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,3,4.11,1.8259010294149087,1.9334558932356132,0.7729810393133829,2.352043578791064,2.732480481613514,67.51162790697674,186.7906976744186,0.8068833947181702,0.7860624194145203,0.8658789396286011,0.7639691829681396,0.6920731663479528,1.8898548308540792,4184,0.7053487300872803,0.7800687551498413,0.6219177842140198,1.0814399719238281,0.6829556822776794,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,4,4.03,1.6193601849467256,1.8583961272424505,0.723397436530091,2.268293724503628,2.4751890444940376,67.51162790697674,186.7906976744186,0.8300669193267822,0.8249030709266663,0.8973910808563232,0.8141919672489166,0.7577512822381969,1.8011538842145134,4184,0.7548704743385315,0.7538983225822449,0.7616438269615173,0.9691475033760071,0.7343996167182922,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,5,4.15,1.6253921378028484,1.7813122900881508,0.6414484926896502,2.1949900083763656,2.2749089862025063,67.51162790697674,186.7906976744186,0.8381931185722351,0.8203326463699341,0.9001772403717041,0.8186847269535065,0.7648488897774081,1.8234447451198803,4184,0.7670853734016418,0.7758985161781311,0.7541095614433289,0.969689667224884,0.738447904586792,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,6,4.03,1.765234770700913,1.7402451010637505,0.6009298329667527,2.152229444001072,2.0895791173905365,67.51162790697674,186.7906976744186,0.8324570059776306,0.8326300978660583,0.9035114049911499,0.8252443969249725,0.7694837291677521,1.7839875887422,4184,0.7835902571678162,0.7400379776954651,0.801369845867157,0.9436318278312683,0.7582919597625732,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,7,4.53,1.6690113276474237,1.7061539186063663,0.5625129039435424,2.119812151258306,1.9903335959412332,67.51162790697674,186.7906976744186,0.8491873741149902,0.8487829566001892,0.9142565727233887,0.8433372378349304,0.7922291483586102,1.759832220918992,4184,0.7923110127449036,0.7628408074378967,0.8239725828170776,0.9153063297271729,0.7620004415512085,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,8,4.47,1.7742285830105922,1.6804245109705962,0.5392936292544815,2.093820619952771,1.9091778568519178,67.51162790697674,186.7906976744186,0.8350860476493835,0.8543762564659119,0.913381814956665,0.8342556357383728,0.778704296180515,1.7557224806617289,4184,0.7924137115478516,0.7322074770927429,0.8315068483352661,0.9225013256072998,0.766120970249176,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,9,4.23,1.6528208131013915,1.659185103667799,0.5408614328665327,2.0640737104785534,1.8751499061436616,67.51162790697674,186.7906976744186,0.8534894585609436,0.8612510561943054,0.9195132255554199,0.8258237242698669,0.7776568703846121,1.7338746049824882,4184,0.8088001012802124,0.8265227675437927,0.734246551990509,0.8809868097305298,0.7729074954986572,,,,,,,c05_gaussian_affine_max50k
dist-ba-v2-c05,c05_gaussian_affine_max50k,10,4.19,1.8004786797272143,1.6293848799180615,0.5153521546559741,2.032939453457677,1.7807979472847872,67.51162790697674,186.7906976744186,0.865439772605896,0.8790628910064697,0.9334285259246826,0.8516871929168701,0.806993495175176,1.667099886080798,4184,0.8275175094604492,0.8078243136405945,0.8061643838882446,0.8279153108596802,0.790898859500885,,,,,,,c05_gaussian_affine_max50k
