design_id,n_seeds,test_spearman_mean,test_spearman_std,test_pearson_mean,test_pearson_std,test_rmse_log10_mean,test_rmse_log10_std,test_auroc_mean,test_auroc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,val_loss_mean,val_loss_std
B1,3,0.7739778757095337,0.0036818649301589177,0.7887072563171387,0.004679790069043295,0.9161253968874613,0.009824334176583838,0.9204951326052347,0.0034555071234383217,0.8494458595911661,0.011079268198335875,0.7927702802590143,0.005078678552057419,0.8387648860613505,0.004435440187333594,0.8498357931772867,0.002713070554088255,0.7863248785336813,0.004036669929379175,0.7994059920310974,0.011658531525919653,,
B2,2,0.7842075526714325,0.005168510179739446,0.798570841550827,0.005499194353155921,0.8768237829208374,0.01316684406219734,0.9266676008701324,0.0014850442072813512,0.8633116483688354,0.0014034900554127712,0.808514863448884,0.0038956644452698306,0.851689875125885,0.0024111369096112257,0.8600985407829285,0.004179955847916426,0.7957253754138947,0.011180926707212524,0.8217957317829132,0.003877215035062675,,
B3,1,0.7862057685852051,,0.8028759360313416,,0.8664135932922363,,0.9255479574203491,,0.8590064644813538,,0.8002759661807153,,0.8437071144580841,,0.8573891520500183,,0.8055555820465088,,0.7950651049613953,,,
D1,3,0.7914461890856425,0.008780384743516325,0.8060161471366882,0.009289701435215084,0.8808596531550089,0.021711892082272748,0.9259239236513773,0.005795282360462808,0.8628968993822733,0.012444597141221946,0.7992800311282606,0.006485213132110054,0.8435095051924387,0.0049361737986325805,0.855336606502533,0.004983260036814895,0.7971200744311014,0.00835471216213012,0.8014621734619141,0.005144319471743074,,
D2,1,0.8030292987823486,,0.8185743689537048,,0.8395286798477173,,0.9317015409469604,,0.8748453259468079,,0.80669925454566,,0.8479110896587372,,0.8635467886924744,,0.8216062784194946,,0.7923235297203064,,,
D3,3,0.8100686073303223,0.003233949532988504,0.8259461124738058,0.004957871238227029,0.8243285814921061,0.009888582759910136,0.935333768526713,0.002192482475627131,0.8795742789904276,0.005972662484432851,0.8168500998438285,0.004651866171716237,0.8582511643568674,0.0030563277623939203,0.8662561376889547,0.004756944472588651,0.8044748504956564,0.013572769335437013,0.8297921021779379,0.008177081167452362,,
A1,3,0.774166464805603,0.003100490823439882,0.791854997475942,0.0032061963366108214,0.9083900451660156,0.005897678233682833,0.9212480386098226,0.0016302836166959213,0.8478751182556152,0.009779075437138653,0.7954332410815013,0.004224481537914017,0.8403611282507578,0.004232124226798804,0.8530377745628357,0.0014005345542626062,0.7958692312240601,0.009770119535999608,0.7952935695648193,0.017153291311146183,,
A2,1,0.7837018966674805,,0.7990944385528564,,0.8821308016777039,,0.9241834878921509,,0.8614876866340637,,0.7937172557652007,,0.8379395604133606,,0.8544334769248962,,0.808677077293396,,0.7793008685112,,,
L1,3,0.7840857108434042,0.003205948166979633,0.8026936252911886,0.0023043808878580744,0.889299730459849,0.009208717541992819,0.9267911911010742,0.002537403115290779,0.8650229374567667,0.0049376612558081215,0.8016185660914518,0.010269428675441243,0.8462402323881785,0.008687619359895397,0.8551724354426066,0.007343873180675565,0.7897059122721354,0.017770364678916063,0.8144848148028055,0.02406071906958916,,
L2,3,0.8061887820561727,0.006000612392859255,0.819394846757253,0.007717257836060278,0.8501829902331034,0.01949714955880574,0.933648963769277,0.003915152933586791,0.8725390831629435,0.010603713161814566,0.8202362225045305,0.005724812498434865,0.8611571590105692,0.0033133593834903372,0.8683086832364401,0.006119744761986166,0.8055365284283956,0.017463138625500575,0.8357322414716085,0.0067620032323093835,,
P1,3,0.7731640736262003,0.0028953051568965673,0.7873716155687968,0.002474213157787978,0.9192370971043905,0.006586010438965461,0.9194175004959106,0.002181254210523609,0.8493366440137228,0.0028957152880530186,0.7881956739577971,0.0011643415967095485,0.8344293634096781,0.0013042172165706497,0.8485221465428671,0.0018595714865933157,0.7922786275545756,0.009901408215270505,0.7843271493911743,0.010536755514105803,,
P2,3,0.8019991914431254,0.0033590554392371325,0.8151104847590128,0.0040744580291753015,0.8600166042645773,0.00827201957373051,0.9290890693664551,0.0009018765131790202,0.8662593762079874,0.005525305414456824,0.8060567513863333,0.0018266010812723614,0.8488449454307556,0.00164652300651155,0.8601806163787842,0.0016400048087631554,0.8036655187606812,0.006962824783873109,0.8085446755091349,0.007580847840149707,,
C1,3,0.789700428644816,0.0034296265132406456,0.8068045179049174,0.0028872552218282724,0.8619676232337952,0.011184399601116488,0.9299384156862894,0.0034161165878073153,0.8659348487854004,0.010570917960430993,0.8110726838212506,0.008075395284213359,0.8531356553236643,0.007652848266757311,0.8633005023002625,0.00484541448269915,0.8060954809188843,0.01934157911162345,0.8169979453086853,0.028499838101179217,,
