path,split,task,metric,n,n_positive,tied_groups,tied_rows,old_ap,new_ap,delta,archived_ap,status
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,binding_affinity_probe,mapping_cross_gene_unresolved_threshold_500nm_auprc,44,8,8,32,0.9089285714285714,0.9089285714285714,0.0,0.9089285714285714,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,binding_affinity_probe,mapping_flanks_agree_threshold_500nm_auprc,250,148,70,187,0.8086320846018927,0.8076218227820445,-0.0010102618198482016,0.8086320846018927,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,binding_affinity_probe,mapping_single_threshold_500nm_auprc,755,254,313,646,0.8483569439144877,0.8486552338045027,0.00029828989001501327,0.8483569439144877,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,binding_affinity_probe,mapping_unmapped_threshold_500nm_auprc,669,304,84,187,0.8747622724278481,0.8744280852358707,-0.00033418719197741975,0.8747622724278481,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,binding_affinity_probe,mapping_within_gene_canonical_threshold_500nm_auprc,24,8,4,13,0.7842261904761905,0.8119047619047619,0.02767857142857144,0.7842261904761905,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,foreignness,auprc,3543,1320,682,1538,0.7810957317632842,0.7813794646824025,0.000283732919118318,0.7810957317632842,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,foreignness,mapping_cross_gene_unresolved_auprc,247,5,27,80,0.04406164866696355,0.047973213292813885,0.003911564625850336,0.04406164866696355,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,foreignness,mapping_flanks_agree_auprc,1400,139,160,402,0.37592384520840505,0.3816362495361718,0.0057124043277667624,0.37592384520840505,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,foreignness,mapping_single_auprc,1066,701,342,709,0.9382722552690472,0.9385365095735265,0.00026425430447929443,0.9382722552690472,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,foreignness,mapping_unmapped_auprc,560,468,126,280,0.8780691307557941,0.8784226048617755,0.0003534741059814106,0.8780691307557941,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/test_predictions.csv,test,foreignness,mapping_within_gene_unresolved_auprc,14,7,4,9,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding,threshold_500nm_auprc,1583,639,421,947,0.844973439951839,0.8436530536583571,-0.0013203862934819677,0.844973439951839,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding,mapping_cross_gene_unresolved_threshold_500nm_auprc,28,9,5,16,0.9535634118967453,0.9551066217732883,0.0015432098765429947,0.9535634118967453,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding,mapping_flanks_agree_threshold_500nm_auprc,243,150,61,178,0.8649972258376295,0.8588095855986857,-0.0061876402389438034,0.8649972258376295,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding,mapping_single_threshold_500nm_auprc,729,240,289,595,0.8384316442190151,0.8386649286878244,0.00023328446880932496,0.8384316442190151,verified_correction
