run_id,label,epoch,train_loss,val_loss,display_label
traj-1ep-20260305T115512-filt,traj-1ep-20260305T115512-filt,1,0.798896823823452,0.34506381712853906,traj-1ep-20260305T115512-filt
traj-small-20260305T090854-filt,traj-small-20260305T090854-filt,1,0.6374430011957883,0.19865034744143487,traj-small-20260305T090854-filt
traj-small-20260305T090854-filt,traj-small-20260305T090854-filt,2,0.40238492637872697,0.22866315729916095,traj-small-20260305T090854-filt
traj-small-20260305T090854-filt,traj-small-20260305T090854-filt,3,0.321690883859992,0.3003429912030697,traj-small-20260305T090854-filt
traj-small-20260305T090854-filt,traj-small-20260305T090854-filt,4,0.3403635652735829,0.34804834611713886,traj-small-20260305T090854-filt
traj-small-20260305T090854-filt,traj-small-20260305T090854-filt,5,0.24457478448748587,0.3897699505090714,traj-small-20260305T090854-filt
traj-small-20260305T090854-filt,traj-small-20260305T090854-filt,6,0.19841617154888808,0.31337981708347795,traj-small-20260305T090854-filt
