design_family,lr,schedule,epochs_recorded,diverged,setup_wall_s,best_epoch,best_val_loss,best_train_loss,term_epoch,term_val_loss,term_train_loss,term_lr,term_epoch_wall_s,term_gpu_util_mean_pct,term_gpu_mem_util_mean_pct,term_gpu_peak_allocated_gib,best_sll_a02_nm,best_sll_a24_nm,best_sll_ratio_a24_over_a02,best_flr_a02_nm,best_flr_a24_nm,best_flr_ratio_a24_over_a02,best_nfl_a02_nm,best_nfl_a24_nm,best_nfl_ratio_a02_over_a24,run_id,app_id
A03_log10_100k,1e-4,constant,20,False,44.653384800000005,18,0.8687378759637023,0.3022193545987318,20,0.8765827665726343,0.276677416903632,0.0001,52.72236794100013,59.32,27.44,32.75030183792114,43.49555737690963,37737.25492571605,867.6117102881299,31.57252395085378,1577.1763934298415,49.954080195960756,18518.437965170662,30.827214086502174,600.7172076337264,broad-lr-r1-a03_log10_100k-lr1em4-constant-20260312a,ap-KMrCpZoqZcwHoohac3C7Nw
A03_log10_100k,1e-4,onecycle,20,False,42.494023198,11,0.8702884930552859,0.4203947945446758,20,0.9252675148573789,0.2959755207156087,4.005747441981558e-09,50.47068319099992,60.857142857142854,28.714285714285715,32.75030183792114,128.03484395221167,39114.74194289483,305.5007585083182,30.309886530915875,623.3447113123905,20.56572236509639,13971.903120921306,122.40080957895813,114.14878029796307,broad-lr-r1-a03_log10_100k-lr1em4-onecycle-20260312a,ap-edQSTepRoD3zZdEj9FIem6
A03_log10_100k,1e-4,warmup_cosine,20,False,44.419091565,18,0.8677060460728226,0.29445953998755625,20,0.8691352820306113,0.2788760328030848,1e-05,55.686182318999954,53.0,24.528301886792452,32.75030183792114,87.61824060590206,46163.07388386349,526.866022013616,54.3692659877242,2098.276407705917,38.593061163998016,25611.716302400942,6.385954930691882,4010.6321733194663,broad-lr-r1-a03_log10_100k-lr1em4-warmup_cosine-20260312a,ap-grHTxDTCAhDqOK0Rwjnasv
A03_log10_100k,2.8e-4,constant,20,False,57.356458263,11,0.8469334158933524,0.4359205822450119,20,0.8696552673072526,0.31715144086015096,0.00028,56.22948021399998,51.55555555555556,23.85185185185185,32.75030183792114,60.039806426533936,23768.137933913014,395.8729940776249,29.72149299560197,1660.21760288038,55.859158997364304,4522.420599947807,41.121119716967904,109.97805096444662,broad-lr-r1-a03_log10_100k-lr2p8em4-constant-20260312a,ap-uRIVbQTHmWbtK3AlEZjSGG
A03_log10_100k,2.8e-4,onecycle,20,False,44.952221816000005,12,0.8335912670149948,0.3491481617093086,20,0.8555468000245817,0.24592167773580814,1.1216092837548364e-08,53.05876558199998,55.01960784313726,25.372549019607842,32.75030183792114,36.94057836276764,26993.615821137777,730.7307307441782,28.530077653079093,2039.0146551023245,71.46894866170352,17431.23827322706,138.3754863254661,125.97056556844115,broad-lr-r1-a03_log10_100k-lr2p8em4-onecycle-20260312a,ap-znsN0ctLcPu8F4xeog2hed
A03_log10_100k,2.8e-4,warmup_cosine,20,False,47.108812583,12,0.8492200971778595,0.3593207942014867,20,0.8908488696271722,0.25329455688268276,2.8e-05,53.187733390000176,59.64705882352941,27.96078431372549,32.75030183792114,32.10253623069801,40508.693541888,1261.853370424721,38.71543895921839,702.9906961789935,18.15789036821981,15915.206109119534,79.81926339285671,199.39054098742582,broad-lr-r1-a03_log10_100k-lr2p8em4-warmup_cosine-20260312a,ap-cLnXXDTjichbVK9mmW6fMI
A03_log10_100k,8e-4,constant,7,False,41.964572709,5,1.3151906995159206,0.8887828239700296,7,1.5260450352321973,0.8228834178912771,0.0008,49.766113265,62.625,29.354166666666668,32.75030183792114,26.66322138471663,4577.9519932805015,171.69538246059741,29.406132520848082,2060.233500618169,70.06135537060251,2489.4307184911254,323.75979160064884,7.689128740117883,broad-lr-r1-a03_log10_100k-lr8em4-constant-20260312a,ap-y9C899XLzcGzVKlmGqYxKH
A03_log10_100k,8e-4,onecycle,20,False,39.545597515,18,1.0513252832672813,0.5651705439437876,20,1.0560959062793038,0.5542472733573599,3.204597953585246e-08,50.45068220299993,59.87755102040816,27.73469387755102,32.75030183792114,71.45517851864243,35657.408188075766,499.0178308598426,25.347308822734977,165.13513257645934,6.514898040313585,8531.811284240588,1517.2285833219162,5.6232866807455615,broad-lr-r1-a03_log10_100k-lr8em4-onecycle-20260312a,ap-v8xsOhlGsZ0bEaSWy4WkgM
A03_log10_100k,8e-4,warmup_cosine,20,False,45.322264758,20,1.0887656347318129,0.579439079286633,20,1.0887656347318129,0.579439079286633,8e-05,56.07181610999987,54.04081632653061,25.244897959183675,32.75030183792114,45.13920336753143,48065.108759630515,1064.8196063248135,23.578952083612535,208.71543499037648,8.851768910266141,17085.319328798465,290.29917546346604,58.85417794081417,broad-lr-r1-a03_log10_100k-lr8em4-warmup_cosine-20260312a,ap-ZHqj5iFvsYPhikI7quaOPV
A07_mhcflurry_100k,1e-4,constant,20,False,48.587803145,20,0.029047699292387926,0.011832782013628345,20,0.029047699292387926,0.011832782013628345,0.0001,48.75482515999988,62.255319148936174,28.27659574468085,32.751195430755615,118.89141333452531,11449.660018223281,96.30350667972397,282.66125883234895,840.7675500327349,2.9744704085231857,7249.816351388767,95.8910129659358,75.60475301229931,broad-lr-r1-a07_mhcflurry_100k-lr1em4-constant-20260312a,ap-qSHBv5UtdApOuqXAQ7ItOf
