model_name,runs,mean_test_spearman,max_test_spearman,mean_test_auroc,mean_test_auprc,mean_test_rmse_log10
groove c02,12,0.8392789016167322,0.8541390299797058,0.9371869961420695,0.9065721134344736,0.8655597567558289
groove c01,12,0.8376437723636627,0.8463010191917419,0.9389161368211111,0.9087074100971222,0.8609779924154282
historical c02,12,0.8341683944066366,0.8441166877746582,0.9334698220094045,0.8987844934066137,0.8773597627878189
