run_id,label,assay_mode,batch_size,cond_id,content_conditioned,device,embed_dim,encoder_backbone,epochs,head_type,init_checkpoint,lr,max_nM,measurement_profile,n_bins,n_heads,n_layers,n_params,probe_alleles,seed,sigma_mult,test_rows,train_rows,val_rows,warm_start,final_epoch,mean_epoch_s,best_val_loss,best_val_loss_epoch,final_val_loss,best_val_spearman,best_val_spearman_epoch,final_val_spearman,test_spearman,test_pearson,test_auroc,test_auprc,test_f1,test_balanced_accuracy,test_accuracy,test_precision,test_recall,test_rmse_log10,test_loss,display_label
dist-ba-v6-confirm-groove_c01-c01-cc0-e100-s42,c01_mhcflurry_additive_max50k_d32,additive,256,1,False,cuda,32,groove,100,mhcflurry,,0.001,50000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",42,0.75,1915,15530,1919,,100,3.3594,0.028550397604703903,32,0.032077767653390765,0.8237042427062988,41,0.8163955807685852,0.8416145443916321,0.8374490141868591,0.9436628222465515,0.9069154262542725,0.8451992249282964,0.8718056678771973,0.8762401938438416,0.8402597308158875,0.8501971364021301,0.8494250774383545,0.029595743399113417,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-confirm-groove_c01-c01-cc0-e100-s42]
dist-ba-v6-confirm-groove_c01-c01-cc0-e050-s45,c01_mhcflurry_additive_max50k_d32,additive,256,1,False,cuda,32,groove,50,mhcflurry,,0.001,50000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",45,0.75,1948,15462,1954,,50,1.6876,0.02717214892618358,33,0.02855315268971026,0.8352943062782288,41,0.8321440815925598,0.8410568237304688,0.839410662651062,0.9364216327667236,0.9144868850708008,0.8369829641512697,0.8594759404659271,0.8624230027198792,0.832929790019989,0.8410757780075073,0.8568350672721863,0.028595595387741923,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-confirm-groove_c01-c01-cc0-e050-s45]
dist-ba-v6-confirm-groove_c01-c01-cc0-e100-s45,c01_mhcflurry_additive_max50k_d32,additive,256,1,False,cuda,32,groove,100,mhcflurry,,0.001,50000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",45,0.75,1948,15462,1954,,100,2.0471,0.02717214892618358,33,0.030186483170837164,0.8352943062782288,41,0.8314038515090942,0.839360773563385,0.8352180123329163,0.9358050227165222,0.9148536920547485,0.833122635472957,0.8563515543937683,0.8644763827323914,0.8625654578208923,0.805623471736908,0.8711459040641785,0.03010304132476449,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-confirm-groove_c01-c01-cc0-e100-s45]
dist-ba-v6-confirm-groove_c02-c02-cc0-e100-s43,c02_mhcflurry_additive_max100k_d32,additive,256,2,False,cuda,32,groove,100,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",43,0.75,1925,15465,1974,,100,1.8518999999999999,0.025500355288386345,25,0.02843388356268406,0.8451930284500122,39,0.8317334055900574,0.8393531441688538,0.8379146456718445,0.9365774393081665,0.9032927751541138,0.8266666502983304,0.856241911649704,0.864935040473938,0.8389715552330017,0.8147174715995789,0.8632109761238098,0.02649966860190034,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-confirm-groove_c02-c02-cc0-e100-s43]
dist-ba-v6-confirm-historical_c02-c02-cc0-e050-s43,c02_mhcflurry_additive_max100k_d32,additive,256,2,False,cuda,32,historical_ablation,50,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,27186,"[""HLA-A*02:01"", ""HLA-A*24:02""]",43,0.75,1925,15465,1974,,50,1.7298000000000002,0.02634764416143298,33,0.028122754767537117,0.839923083782196,33,0.832615315914154,0.838161051273346,0.8368984460830688,0.9362579584121704,0.9013209342956543,0.8305303872829842,0.8603872954845428,0.8638961315155029,0.8178343772888184,0.8436267971992493,0.8635581135749817,0.027046590577811003,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-confirm-historical_c02-c02-cc0-e050-s43]
dist-ba-v6-confirm-groove_c02-c02-cc0-e100-s45,c02_mhcflurry_additive_max100k_d32,additive,256,2,False,cuda,32,groove,100,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",45,0.75,1948,15462,1954,,100,1.8011,0.025557896587997675,41,0.02819336182437837,0.8364712595939636,41,0.8286298513412476,0.837916910648346,0.831483781337738,0.9316149950027466,0.90565025806427,0.8350253829913911,0.8579527139663696,0.8665297627449036,0.8680738806724548,0.8044009804725647,0.886054515838623,0.02796687511727214,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-confirm-groove_c02-c02-cc0-e100-s45]
dist-ba-v6-confirm-groove_c01-c01-cc0-e100-s44,c01_mhcflurry_additive_max50k_d32,additive,256,1,False,cuda,32,groove,100,mhcflurry,,0.001,50000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",44,0.75,1960,15448,1956,,100,1.9138000000000002,0.029309205478057265,39,0.03122325288131833,0.8367418646812439,36,0.8301830291748047,0.8377983570098877,0.8332833051681519,0.9395239353179932,0.9106665253639221,0.8354898412603785,0.8563403785228729,0.8637754917144775,0.8714653253555298,0.8023668527603149,0.8665476441383362,0.029975347453728318,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-confirm-groove_c01-c01-cc0-e100-s44]
dist-ba-v6-confirm-groove_c02-c02-cc0-e100-s42,c02_mhcflurry_additive_max100k_d32,additive,256,2,False,cuda,32,groove,100,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",42,0.75,1915,15530,1919,,100,2.1254000000000004,0.026919450610876083,53,0.029190776171162724,0.8255054950714111,53,0.8215700387954712,0.8372094035148621,0.8347065448760986,0.9388221502304077,0.9029656648635864,0.8344198328364987,0.8628737032413483,0.867362916469574,0.8279430866241455,0.8409987092018127,0.8655165433883667,0.027810988249257207,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-confirm-groove_c02-c02-cc0-e100-s42]
dist-ba-v6-confirm-historical_c02-c02-cc0-e100-s42,c02_mhcflurry_additive_max100k_d32,additive,256,2,False,cuda,32,historical_ablation,100,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,27186,"[""HLA-A*02:01"", ""HLA-A*24:02""]",42,0.75,1915,15530,1919,,100,1.7852000000000003,0.027192558627575636,34,0.030326245818287134,0.8267577886581421,43,0.8159413933753967,0.8369008898735046,0.8368889093399048,0.9371061325073242,0.8959139585494995,0.834737538013193,0.8633354306221008,0.8668407201766968,0.8235294222831726,0.8462549448013306,0.856495201587677,0.02737086173146963,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-confirm-historical_c02-c02-cc0-e100-s42]
dist-ba-v6-confirm-historical_c02-c02-cc0-e050-s45,c02_mhcflurry_additive_max100k_d32,additive,256,2,False,cuda,32,historical_ablation,50,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,27186,"[""HLA-A*02:01"", ""HLA-A*24:02""]",45,0.75,1948,15462,1954,,50,1.768,0.025924734072759748,20,0.026882990263402462,0.8326696753501892,50,0.8326696753501892,0.8357433080673218,0.8295315504074097,0.9279377460479736,0.8982394337654114,0.8276283740997314,0.8514248132705688,0.8552361130714417,0.8276283740997314,0.8276283740997314,0.8853048086166382,0.02788669802248478,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-confirm-historical_c02-c02-cc0-e050-s45]
