model_name,seed,runs,mean_test_spearman,mean_test_auroc,mean_test_rmse_log10
groove c01,42,3,0.8402721683184305,0.9435717066129049,0.850011150042216
groove c02,42,3,0.8381415804227194,0.9399741689364115,0.8623676697413126
historical c02,42,3,0.8374654253323873,0.9383921424547831,0.8566339810689291
groove c02,43,3,0.8413132031758627,0.9387084444363912,0.8573440909385681
groove c01,43,3,0.8360821207364401,0.9386768539746603,0.8558704455693563
historical c02,43,3,0.8318999409675598,0.9328034520149231,0.8810638785362244
groove c02,44,3,0.8379947344462076,0.9374489386876425,0.8661835392316183
historical c02,44,3,0.8378747900327047,0.9374945561091105,0.8670178254445394
groove c01,44,3,0.8374132513999939,0.9392200708389282,0.8623160918553671
groove c02,45,3,0.8396660884221395,0.9326164325078329,0.8763437271118164
groove c01,45,3,0.8368075489997864,0.9341959158579508,0.8757142821947733
historical c02,45,3,0.8294334212938944,0.9251891374588013,0.9047233661015829
