run_id,label,assay_input_mode,assay_mode,batch_size,cond_id,content_conditioned,device,embed_dim,encoder_backbone,epochs,head_type,init_checkpoint,lr,max_nM,measurement_profile,n_bins,n_heads,n_layers,n_params,probe_alleles,seed,sigma_mult,test_rows,train_rows,val_rows,warm_start,final_epoch,mean_epoch_s,best_val_loss,best_val_loss_epoch,final_val_loss,best_val_spearman,best_val_spearman_epoch,final_val_spearman,test_spearman,test_pearson,test_auroc,test_auprc,test_f1,test_balanced_accuracy,test_accuracy,test_precision,test_recall,test_rmse_log10,test_loss,display_label
dist-ba-v6-honest-groove_c02-c02-ai0-e050-s43,c02_mhcflurry_additive_max100k_d32,none,additive,256,2,False,cuda,32,groove,50,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",43,0.75,1925,15465,1974,,50,1.6776,0.03266802430152893,25,0.034145466051995754,0.7936273813247681,24,0.7901116609573364,0.7995138764381409,0.8052296042442322,0.920632541179657,0.8640232682228088,0.8300395195277281,0.8593757748603821,0.8659740090370178,0.8322324752807617,0.8278580904006958,0.9383441209793091,0.032268197974190116,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-honest-groove_c02-c02-ai0-e050-s43]
dist-ba-v6-honest-groove_c01-c01-ai0-e050-s43,c01_mhcflurry_additive_max50k_d32,none,additive,256,1,False,cuda,32,groove,50,mhcflurry,,0.001,50000,numeric_no_qualitative,128,4,2,54803,"[""HLA-A*02:01"", ""HLA-A*24:02""]",43,0.75,1925,15465,1974,,50,2.2582,0.035699885338544846,30,0.037257448537275195,0.7956941723823547,31,0.7905924320220947,0.7936514019966125,0.7981045842170715,0.917870044708252,0.859154999256134,0.8053333436837196,0.83885657787323,0.8483116626739502,0.817320704460144,0.7936925292015076,0.9512402415275574,0.03594116261228919,c01_mhcflurry_additive_max50k_d32
dist-ba-v6-honest-historical_c02-c02-ai0-e050-s43,c02_mhcflurry_additive_max100k_d32,none,additive,256,2,False,cuda,32,historical_ablation,50,mhcflurry,,0.001,100000,numeric_no_qualitative,128,4,2,27186,"[""HLA-A*02:01"", ""HLA-A*24:02""]",43,0.75,1925,15465,1974,,50,1.9354,0.032241506269201636,49,0.033267071237787604,0.8002392053604126,32,0.7989777326583862,0.7932024598121643,0.8003225326538086,0.9193873405456543,0.8589037656784058,0.8125399827405942,0.8454788029193878,0.8477922081947327,0.7917705774307251,0.8344283699989319,0.9556032419204712,0.03436446166597307,c02_mhcflurry_additive_max100k_d32 [dist-ba-v6-honest-historical_c02-c02-ai0-e050-s43]
