cond_id,label,final_train_loss,final_val_loss,test_loss,test_auroc,test_spearman
1,c01_mhcflurry_affine_max50k,0.017405457830764064,0.027100628570598716,0.02774073462933302,0.9378111362457275,0.801271915435791
2,c02_mhcflurry_affine_max100k,0.015758287082173566,0.02528161508962512,0.02544809627579525,0.9370579719543457,0.8017616868019104
3,c03_log_mse_affine_max50k,2.241427226584087,3.1120715001050163,3.4980469048023224,0.9301850199699402,0.7774490714073181
4,c04_log_mse_affine_max100k,2.4520866029946378,3.513482451438904,4.001023948192596,0.9210278987884521,0.7616978883743286
5,c05_twohot_d1_affine_max50k_K128,0.0006853090658120165,3.587890171943667e-06,3.727522283725193e-06,0.44332900643348694,-0.09741000831127167
6,c06_twohot_d1_affine_max100k_K128,4.89417054117188,4.928394445601632,4.866337711457163,0.5797914266586304,0.19858334958553314
7,c07_hlgauss_d1_affine_max50k_K128_s0.75,4.8941693102666575,4.928393969641013,4.866337088868022,0.44266098737716675,-0.09849294275045395
8,c08_hlgauss_d1_affine_max100k_K128_s0.75,4.8941693102666575,4.928393969641013,4.866337088868022,0.44266098737716675,-0.09849294275045395
9,c09_twohot_d1_affine_max50k_K64,4.89086823500404,4.928394187022658,4.866337352897972,0.44266098737716675,-0.09849294275045395
10,c10_twohot_d1_affine_max100k_K64,4.890868246093277,4.928394337787347,4.86633748235181,0.45956122875213623,-0.07017207145690918
11,c11_hlgauss_d1_affine_max50k_K64_s0.75,4.890867758166882,4.928393969641013,4.866337088868022,0.44266098737716675,-0.09849294275045395
12,c12_hlgauss_d1_affine_max100k_K64_s0.75,4.890867758166882,4.928393969641013,4.866337088868022,0.44276848435401917,-0.09827183932065964
13,c13_twohot_d2_logit_max50k_K128,3.2341935597648916,4.131253088221831,4.143332786858082,0.9307489395141602,0.7857843637466431
14,c14_twohot_d2_logit_max100k_K128,2.844649593959483,3.8385087602278767,3.8416754826903343,0.9284650683403015,0.7868452668190002
15,c15_twohot_d2_logit_max50k_K64,2.8624887928482172,3.600885412272285,3.6121752709150314,0.9226028919219971,0.7777951955795288
16,c16_twohot_d2_logit_max100k_K64,2.4735083432160607,3.2536407849367928,3.266530856490135,0.9307106733322144,0.7825165390968323
17,c17_hlgauss_d2_logit_max50k_K128_s0.75,3.3890594308690507,4.031496584415436,4.031832404434681,0.9303524494171143,0.7890052795410156
18,c18_hlgauss_d2_logit_max100k_K128_s0.75,3.007511998331824,3.70869584644542,3.7319584116339684,0.9282867312431335,0.7823425531387329
19,c19_hlgauss_d2_logit_max50k_K64_s0.75,2.9780678749084473,3.510566297699423,3.5093622654676437,0.9291478395462036,0.7913350462913513
20,c20_hlgauss_d2_logit_max100k_K64_s0.75,2.591197498084963,3.141223167671877,3.165541760623455,0.930253803730011,0.7982285618782043
21,c21_hlgauss_d1_affine_max50k_K128_s0.5,4.8943941556206045,4.928393969641013,4.866338109597564,0.44266098737716675,-0.09849294275045395
22,c22_hlgauss_d1_affine_max100k_K128_s0.5,4.894470464351565,4.928393969641013,4.866829855367541,0.44266098737716675,-0.09849294275045395
23,c23_hlgauss_d1_affine_max50k_K128_s1.5,4.8941693102666575,4.928393969641013,4.866337088868022,0.44266098737716675,-0.09849294275045395
24,c24_hlgauss_d1_affine_max100k_K128_s1.5,4.8941693102666575,4.928393969641013,4.866337088868022,0.44266098737716675,-0.09849294275045395
25,c25_hlgauss_d2_logit_max50k_K128_s0.5,3.3153281544530113,4.101232700488147,4.0870265662670135,0.92751145362854,0.7862656116485596
26,c26_hlgauss_d2_logit_max100k_K128_s0.5,2.9269420305887857,3.7567421197891235,3.778500385582447,0.9264428615570068,0.7794557809829712
27,c27_hlgauss_d2_logit_max50k_K128_s1.5,3.5034662771594616,4.014739618581884,4.027310706675053,0.9265432357788086,0.7929143309593201
28,c28_hlgauss_d2_logit_max100k_K128_s1.5,3.1192707276159477,3.601948717061211,3.636354811489582,0.9272081255912781,0.7962629795074463
29,c29_mhcflurry_additive_max50k,0.017281550091019896,0.02700815618257312,0.02743287949124351,0.9371752142906189,0.8107680082321167
30,c30_mhcflurry_additive_max100k,0.015929994599301684,0.024102918694124502,0.0249808908556588,0.9368231296539307,0.8120853304862976
31,c31_log_mse_additive_max50k,2.0937215320823728,3.229328821687137,3.299155168235302,0.9327244758605957,0.799846887588501
32,c32_log_mse_additive_max100k,2.2265982193540235,3.1897675500196567,3.316902920603752,0.9344420433044434,0.8054232001304626
