split,policy,scope,metric,mean,std,min,max,n_seeds
val,legacy_global_canonical,overall,n_all,1611.6666666666667,25.794056162870806,1583.0,1633.0,3
val,legacy_global_canonical,overall,n_exact,1320.0,26.664583251946766,1299.0,1350.0,3
val,legacy_global_canonical,overall,n_threshold_500nm,1611.6666666666667,25.794056162870806,1583.0,1633.0,3
val,legacy_global_canonical,overall,all_spearman,0.7868850483941975,0.015749006279977423,0.775312964956727,0.8048200144477837,3
val,legacy_global_canonical,overall,all_pearson,0.7839656214263641,0.013161245495010219,0.7726135331518725,0.7983918628091604,3
val,legacy_global_canonical,overall,all_rmse,0.9372068133090954,0.01697996556656758,0.9176082570221076,0.9474976951966257,3
val,legacy_global_canonical,overall,exact_spearman,0.752312387655193,0.014511089252692571,0.7391925444238886,0.7678986039973156,3
val,legacy_global_canonical,overall,exact_pearson,0.7401491075839385,0.013781035366857536,0.7272627512586319,0.7546776615124732,3
val,legacy_global_canonical,overall,exact_rmse,0.9968633987284635,0.015709785551254924,0.9794060902794711,1.0098616136275456,3
val,legacy_global_canonical,overall,threshold_500nm_accuracy,0.8464820303889983,0.011020445045573757,0.8369363804817789,0.8585425597060624,3
val,legacy_global_canonical,overall,threshold_500nm_balanced_accuracy,0.8438972575981443,0.016387719441289736,0.8277706541962087,0.8605341726286211,3
val,legacy_global_canonical,overall,threshold_500nm_precision,0.8052809518821425,0.017700564710631743,0.7873900293255132,0.8227848101265823,3
val,legacy_global_canonical,overall,threshold_500nm_recall,0.8289973760692813,0.05047002775830362,0.7738095238095238,0.8728070175438597,3
val,legacy_global_canonical,overall,threshold_500nm_f1,0.8161537293911204,0.020356031658166338,0.7975460122699387,0.8378947368421054,3
val,legacy_global_canonical,overall,threshold_500nm_auroc,0.9157063013218778,0.008291366690697364,0.9065409405586059,0.9226856216762489,3
val,legacy_global_canonical,overall,threshold_500nm_auprc,0.8593536978269952,0.012779247867785747,0.844973439951839,0.8694100636091682,3
val,legacy_global_canonical,single,n_all,727.3333333333334,5.686240703077327,721.0,732.0,3
val,legacy_global_canonical,single,n_exact,658.6666666666666,15.044378795195678,649.0,676.0,3
val,legacy_global_canonical,single,n_threshold_500nm,727.3333333333334,5.686240703077327,721.0,732.0,3
val,legacy_global_canonical,single,all_spearman,0.7830734713254465,0.025195188572673034,0.7630974266692394,0.8113785828636966,3
val,legacy_global_canonical,single,all_pearson,0.7874053293800429,0.013101763132633499,0.7778970953356557,0.8023501927537802,3
val,legacy_global_canonical,single,all_rmse,0.8645941361925731,0.009908233219785938,0.8564945661395688,0.8756418358552384,3
val,legacy_global_canonical,single,exact_spearman,0.7672684410070372,0.02254833422442266,0.7453749712632499,0.7904190426116379,3
val,legacy_global_canonical,single,exact_pearson,0.7703185266447602,0.01233903303906274,0.7618996553346431,0.7844825436941741,3
val,legacy_global_canonical,single,exact_rmse,0.8825145572533941,0.011105786632721805,0.8757324868254905,0.895331150130676,3
val,legacy_global_canonical,single,threshold_500nm_accuracy,0.8610480746835362,0.01699947535739274,0.841886269070735,0.8743169398907104,3
val,legacy_global_canonical,single,threshold_500nm_balanced_accuracy,0.8482036797226938,0.03150654426447464,0.8124019963243352,0.871702907874421,3
val,legacy_global_canonical,single,threshold_500nm_precision,0.7989846610536265,0.022016242760475854,0.7739463601532567,0.8153153153153153,3
val,legacy_global_canonical,single,threshold_500nm_recall,0.8054017967903265,0.08100681682020135,0.7125984251968503,0.8619402985074627,3
val,legacy_global_canonical,single,threshold_500nm_f1,0.8002754817600387,0.03709496269430532,0.7605042016806722,0.8339350180505416,3
val,legacy_global_canonical,single,threshold_500nm_auroc,0.9211441783707334,0.008669483907796613,0.9146387184730743,0.9309862326299537,3
val,legacy_global_canonical,single,threshold_500nm_auprc,0.8564117744870202,0.019493782984165722,0.8384316442190151,0.8771297448769891,3
val,legacy_global_canonical,flanks_agree,n_all,221.0,20.663978319771825,202.0,243.0,3
val,legacy_global_canonical,flanks_agree,n_exact,188.66666666666666,22.744962812309307,170.0,214.0,3
val,legacy_global_canonical,flanks_agree,n_threshold_500nm,221.0,20.663978319771825,202.0,243.0,3
val,legacy_global_canonical,flanks_agree,all_spearman,0.7080973646486091,0.02185689002352522,0.6857559421703278,0.7294351439378656,3
val,legacy_global_canonical,flanks_agree,all_pearson,0.718587003350088,0.02539525886160251,0.6940856975762936,0.7447905657608828,3
val,legacy_global_canonical,flanks_agree,all_rmse,1.1458491241247624,0.03482767464395806,1.1065166859903015,1.1727738832590107,3
val,legacy_global_canonical,flanks_agree,exact_spearman,0.596361639459307,0.02139617443825921,0.5808288326683695,0.6207667091321242,3
val,legacy_global_canonical,flanks_agree,exact_pearson,0.6267881684398319,0.02373911432330735,0.5995350174268782,0.6429632471842724,3
val,legacy_global_canonical,flanks_agree,exact_rmse,1.2065341703456063,0.013008258988308525,1.1986664952842725,1.221549053348333,3
val,legacy_global_canonical,flanks_agree,threshold_500nm_accuracy,0.796465318748434,0.029373010640077718,0.7772277227722773,0.8302752293577982,3
val,legacy_global_canonical,flanks_agree,threshold_500nm_balanced_accuracy,0.7927088222165567,0.030748223199860817,0.7702150537634409,0.8277459568733153,3
val,legacy_global_canonical,flanks_agree,threshold_500nm_precision,0.8176281310055112,0.028266107871125566,0.7862595419847328,0.8411214953271028,3
val,legacy_global_canonical,flanks_agree,threshold_500nm_recall,0.8341182405165456,0.07941238981887506,0.7627118644067796,0.9196428571428571,3
val,legacy_global_canonical,flanks_agree,threshold_500nm_f1,0.8234930334769305,0.02387716183909212,0.7999999999999999,0.8477366255144032,3
val,legacy_global_canonical,flanks_agree,threshold_500nm_auroc,0.8538865390017941,0.029134364869764125,0.8258781362007168,0.8840294592413237,3
val,legacy_global_canonical,flanks_agree,threshold_500nm_auprc,0.853616059968134,0.0455690734982348,0.803435115638183,0.8924158384285897,3
val,legacy_global_canonical,within_gene_canonical,n_all,18.333333333333332,11.015141094572204,11.0,31.0,3
val,legacy_global_canonical,within_gene_canonical,n_exact,12.0,6.928203230275509,8.0,20.0,3
val,legacy_global_canonical,within_gene_canonical,n_threshold_500nm,18.333333333333332,11.015141094572204,11.0,31.0,3
val,legacy_global_canonical,within_gene_canonical,all_spearman,0.8453064850110268,0.08381540839929896,0.7531974146440827,0.917089643403763,3
val,legacy_global_canonical,within_gene_canonical,all_pearson,0.7487800915604312,0.08007149295254279,0.6822467937251467,0.8376474076774885,3
val,legacy_global_canonical,within_gene_canonical,all_rmse,0.879733844124101,0.032316234020247254,0.8557660818021853,0.9164866323705866,3
val,legacy_global_canonical,within_gene_canonical,exact_spearman,0.6620682241147878,0.20362804768538925,0.4523809523809524,0.859041213929178,3
val,legacy_global_canonical,within_gene_canonical,exact_pearson,0.5252236260201729,0.16737353729449664,0.3685005787117413,0.7015255183598372,3
val,legacy_global_canonical,within_gene_canonical,exact_rmse,1.0127104661442177,0.0884061839040371,0.9157393638901051,1.0888204149695273,3
val,legacy_global_canonical,within_gene_canonical,threshold_500nm_accuracy,0.8296864425896683,0.09821346571995979,0.7272727272727273,0.9230769230769231,3
val,legacy_global_canonical,within_gene_canonical,threshold_500nm_balanced_accuracy,0.8126984126984128,0.05534540752892427,0.75,0.8547619047619048,3
val,legacy_global_canonical,within_gene_canonical,threshold_500nm_precision,0.8974358974358975,0.17764623667373103,0.6923076923076923,1.0,3
val,legacy_global_canonical,within_gene_canonical,threshold_500nm_recall,0.6888888888888888,0.20092379244472364,0.5,0.9,3
val,legacy_global_canonical,within_gene_canonical,threshold_500nm_f1,0.7497584541062802,0.07248308921163693,0.6666666666666666,0.8,3
