design_id,target_label,encoding,max_affinity_nM,app_id,run_id,setup_wall_s,param_count,train_rows,val_rows,best_epoch,best_val_loss,final_epoch,final_val_loss,epoch_wall_s,gpu_util_mean_pct,gpu_peak_allocated_gib,sll_a02_ic50_nM,sll_a24_ic50_nM,flr_a02_ic50_nM,flr_a24_ic50_nM,nfl_a02_ic50_nM,nfl_a24_ic50_nM,sll_ratio_a24_over_a02,flr_ratio_a24_over_a02,nfl_ratio_a02_over_a24
A03,log10_100k,log10,100000,ap-dsq9MX82mt4ONl7twyJqYm,broad-target-r1-a03-log10_100k-20260312a,44.940202996000004,5171558,32855,8194,5,0.9847164831378243,5,0.9847164831378243,50.17797471000003,58.541666666666664,32.75030183792114,8.48883840980909,19197.096584879237,16.858531961952067,3268.182550227152,1732.6691729661193,227.8467766647331,2261.451527065995,193.8592611505614,7.6045366905307095
A03,log10_50k,log10,50000,ap-w1eTMhYXpTLjcjW1W3AEcq,broad-target-r1-a03-log10_50k-20260312a,47.64670754,5171558,32855,8194,4,0.95026424165928,5,1.0485426133329219,51.55300827799999,56.97959183673469,32.75030183792114,16.291382164730955,44739.8341943323,20.486899200062474,9563.383302186141,970.7246796503763,1036.0662699536038,2746.227038439323,466.8048204267524,0.9369330011041151
A03,mhcflurry_100k,mhcflurry,100000,ap-WV5seKJU5EW58Xs9B3X54M,broad-target-r1-a03-mhcflurry_100k-20260312a,46.9120067,5171558,32855,8194,5,0.037079539714437545,5,0.037079539714437545,46.94220656900001,64.37777777777778,32.75030183792114,49.9720459783603,39178.39722591287,13.374239685031492,3457.170879414825,3353.9388010542257,451.8065534759441,784.0062670813705,258.4947601383356,7.423395644111219
A03,mhcflurry_50k,mhcflurry,50000,ap-Rv1EtEeZY3WCoCaZnVuSsA,broad-target-r1-a03-mhcflurry_50k-20260312a,40.91565652,5171558,32855,8194,4,0.04098459935718865,5,0.044855960701225384,45.283613952999985,64.06818181818181,32.75030183792114,63.02531267403837,30671.32111701277,12.491712785639276,13700.28864669382,2725.605215929135,746.0860264397012,486.65083623848517,1096.750212064109,3.6532050183752083
A07,log10_100k,log10,100000,ap-SWziaWjSOuuWaaiAAULlmX,broad-target-r1-a07-log10_100k-20260312a,45.593391765,5212518,32855,8194,4,0.8137486404315992,5,0.8438019346107136,50.406499134,57.40425531914894,32.751195430755615,110.73552431901027,7824.149626044515,34.87028001031772,1606.9160017737254,14411.479635576678,156.12737616239355,70.65618440117252,46.082681334886246,92.30591065968336
A07,log10_50k,log10,50000,ap-5R8yh8jGO8Wd9yCQyUaJXb,broad-target-r1-a07-log10_50k-20260312a,48.092348662999996,5212518,32855,8194,5,0.7580223209930189,5,0.7580223209930189,49.75916020200003,59.48936170212766,32.751195430755615,81.31663088043628,13795.611127206164,29.012774594910084,1191.9955481442962,6143.864910942758,61.50364461738355,169.6530092041136,41.085196600032056,99.89432250989302
A07,mhcflurry_100k,mhcflurry,100000,ap-EvX1DnqjM7R80S0pGIlkv0,broad-target-r1-a07-mhcflurry_100k-20260312a,46.147703828000004,5212518,32855,8194,5,0.03591665337708863,5,0.03591665337708863,49.281381657000026,60.276595744680854,32.751195430755615,61.61767064340609,30304.77863694833,45.53363772315443,9186.56944250367,4741.1351942873225,39.53211537316186,491.81960824725434,201.7534706618045,119.93122931908809
A07,mhcflurry_50k,mhcflurry,50000,ap-h7pMKfDyASc6WdxRyGoOVu,broad-target-r1-a07-mhcflurry_50k-20260312a,48.626746710999996,5212518,32855,8194,4,0.03255995418029753,5,0.03295807141076886,50.93342684199996,56.958333333333336,32.751195430755615,70.4158709207256,26920.30257997676,20.00143491878852,3502.2357659931513,3320.8830828447353,63.93272125737372,382.3044752266676,175.09922564122118,51.943402650981625
