run_id,app_id,label,head_type,assay_mode,max_nM,n_bins,sigma_mult,best_epoch,best_val_loss,n_params,train_rows,val_rows,test_rows,mean_epoch_time_s,total_epoch_time_s,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_f1,val_loss,val_n_censored,val_n_exact,val_n_samples,val_n_supervised,val_pearson,val_precision,val_recall,val_rmse_log10,val_spearman,test_accuracy,test_auprc,test_auroc,test_balanced_accuracy,test_f1,test_loss,test_n_censored,test_n_exact,test_n_samples,test_n_supervised,test_pearson,test_precision,test_recall,test_rmse_log10,test_spearman,probe_HLAA0201_SLLQHLIGL_nM,probe_HLAA0201_FLRYLLFGI_nM,probe_HLAA2402_NFLIKFLLI_nM,val_coverage_90,val_entropy_error_srcc,val_pit_ks,test_coverage_90,test_entropy_error_srcc,test_pit_ks
dist-ba-clean-fix-c02,ap-TqOY2SFMxOzhfbpZghif2S,c02_mhcflurry_additive_max200k,mhcflurry,additive,200000,128,0.75,10,0.037910573184490204,304530,32805,4184,4060,4.5867,45.867000000000004,0.7431585788726807,0.7910698652267456,0.8169549703598022,0.74112868309021,0.7206884158268062,0.037910573184490204,1151,3033,3033,4184,0.63410484790802,0.7539384961128235,0.6902472376823425,1.140857458114624,0.6397463083267212,0.7341602444648743,0.7973034977912903,0.8124171495437622,0.7326124012470245,0.7102667041688571,0.04043400939553976,1077,2983,2983,4060,0.6208909749984741,0.7587822079658508,0.6675823926925659,1.1507232189178467,0.6209179759025574,70.21932983398438,98.22454833984375,12580.947265625,,,,,,
dist-ba-clean-fix-c01,ap-ikYuV7JwLs7oHL9zAmdzBm,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,0.75,10,0.04642089467276545,304530,32805,4184,4060,4.0793,40.793,0.734586238861084,0.7867008447647095,0.8112374544143677,0.7325163185596466,0.711158957590218,0.04642089467276545,1151,3033,3033,4184,0.6224733591079712,0.7445529699325562,0.6806318759918213,1.1493257284164429,0.6275354623794556,0.7261146306991577,0.7910067439079285,0.8041709661483765,0.7243706583976746,0.6988573593219886,0.05032275593839586,1077,2983,2983,4060,0.6045941710472107,0.7541766166687012,0.651098906993866,1.1632225513458252,0.6048024296760559,109.83077239990234,152.02798461914062,13528.7392578125,,,,,,
dist-ba-clean-fix-c04,ap-K5CqLTGeEzHZMJhIF3w6QZ,c04_log_mse_additive_max200k,log_mse,additive,200000,128,0.75,10,5.640616543152753,304530,32805,4184,4060,4.1128,41.128,0.7286515235900879,0.7762205004692078,0.8045988082885742,0.7252810597419739,0.69393826957774,5.640616543152753,1151,3033,3033,4184,0.6113812923431396,0.7566909790039062,0.6407967209815979,1.1777865886688232,0.6171874403953552,0.7237679958343506,0.7866013050079346,0.8030474781990051,0.7213760316371918,0.6869300752810731,6.048154100775719,1077,2983,2983,4060,0.598315954208374,0.7687074542045593,0.6208791136741638,1.1864134073257446,0.5994569063186646,133.79193115234375,177.45034790039062,17979.203125,,,,,,
dist-ba-clean-fix-c03,ap-gDXuJiiMqlWGpdICQ78HBX,c03_log_mse_additive_max50k,log_mse,additive,50000,128,0.75,10,5.348865074269912,304530,32805,4184,4060,3.7787999999999995,37.788,0.7306297421455383,0.7752392888069153,0.8034778237342834,0.7274468839168549,0.6977432543307918,5.348865074269912,1151,3033,3033,4184,0.6096328496932983,0.7562149167060852,0.6476648449897766,1.1752134561538696,0.6140890121459961,0.7207509279251099,0.7847844362258911,0.8007405400276184,0.7184610366821289,0.6850661812027942,5.823311686515808,1077,2983,2983,4060,0.5937562584877014,0.7619848847389221,0.6222527623176575,1.1865205764770508,0.5945550203323364,131.11593627929688,178.20303344726562,17634.900390625,,,,,,
dist-ba-clean-fix-c12,ap-Rg2oBI1ZVzfQUtx9i0sayB,c12_hlgauss_d2_logit_max200k_K128_s0.75,hlgauss,d2_logit,200000,128,0.75,10,3.589254677295685,333232,32805,4184,4060,4.647600000000001,46.476000000000006,0.7138146758079529,0.7482424378395081,0.7754939198493958,0.7113296091556549,0.6852791827673965,3.589254677295685,1151,3033,3033,4184,0.5563388466835022,0.725806474685669,0.6490384340286255,1.236148476600647,0.5597305297851562,0.7026483416557312,0.7580337524414062,0.7709308862686157,0.7008271813392639,0.6720887282249186,3.6439897045493126,1077,2983,2983,4060,0.5358551740646362,0.7277822494506836,0.6243131756782532,1.2523597478866577,0.5381196141242981,132.8948974609375,80.91957092285156,19884.861328125,0.9165842533111572,0.055424779653549194,0.08138120174407959,0.9225611686706543,0.06591843068599701,0.09497863054275513
dist-ba-clean-fix-c11,ap-1yvbseLravQNFLnJBbFCjQ,c11_hlgauss_d2_logit_max200k_K64_s0.75,hlgauss,d2_logit,200000,64,0.75,10,3.0736737601897297,318768,32805,4184,4060,4.298299999999999,42.983,0.7171117663383484,0.7590411305427551,0.7816670536994934,0.7143421173095703,0.6864035280877402,3.0736737601897297,1151,3033,3033,4184,0.564856231212616,0.733593761920929,0.6449176073074341,1.2294459342956543,0.5708766579627991,0.7046597599983215,0.7553637027740479,0.7674838304519653,0.7025682926177979,0.6701609863662171,3.1322768181562424,1077,2983,2983,4060,0.532744288444519,0.7366254925727844,0.6146978139877319,1.259849190711975,0.5338959097862244,192.88076782226562,149.85675048828125,23295.533203125,0.9175733327865601,0.0674872174859047,0.0803036093711853,0.9215554594993591,0.04807601496577263,0.091450035572052
dist-ba-clean-fix-c08,ap-r5IYqFjZcXblHZDN9fysTe,c08_twohot_d2_logit_max200k_K128,twohot,d2_logit,200000,128,0.75,10,3.597732088145088,333232,32805,4184,4060,6.476699999999999,64.767,0.709858238697052,0.7399572134017944,0.7699515223503113,0.707577645778656,0.6827685598297653,3.597732088145088,1151,3033,3033,4184,0.5462501049041748,0.7185128927230835,0.6504120826721191,1.2463661432266235,0.5502620935440063,0.702983558177948,0.7545945048332214,0.768173336982727,0.7012184858322144,0.6733038203563851,3.654928609728813,1077,2983,2983,4060,0.5295251607894897,0.7269108295440674,0.6270604133605957,1.258721113204956,0.5330889821052551,109.34300994873047,80.92683410644531,19934.3046875,0.9188922047615051,0.051137566566467285,0.08376365900039673,0.9249078035354614,0.057998109608888626,0.10056012868881226
dist-ba-clean-fix-c07,ap-mfn2XNmSRyAY3Uv9AGKKdH,c07_twohot_d2_logit_max200k_K64,twohot,d2_logit,200000,64,0.75,10,3.080903032246758,318768,32805,4184,4060,4.1975999999999996,41.976,0.7121661901473999,0.7522608041763306,0.7753481268882751,0.7091646790504456,0.6789260868288209,3.080903032246758,1151,3033,3033,4184,0.5514639616012573,0.730799674987793,0.6339285969734192,1.245077133178711,0.5584326386451721,0.6979550719261169,0.7503445148468018,0.7617442011833191,0.695811927318573,0.661913692110142,3.141744151711464,1077,2983,2983,4060,0.5208624601364136,0.729528546333313,0.6057692170143127,1.2735334634780884,0.5236984491348267,200.3755340576172,148.20298767089844,24421.265625,0.9175733327865601,0.027428055182099342,0.08505058288574219,0.9205498099327087,0.015985658392310143,0.09749108552932739
dist-ba-clean-fix-c09,ap-6Po5Pipo0iaAAAXQpYIWiM,c09_hlgauss_d2_logit_max50k_K64_s0.75,hlgauss,d2_logit,50000,64,0.75,10,3.610317843801835,318768,32805,4184,4060,4.6979999999999995,46.98,0.7108473181724548,0.7482439279556274,0.7756320238113403,0.708686888217926,0.6848724494876165,3.610317843801835,1151,3033,3033,4184,0.5518584251403809,0.7181612849235535,0.6545329689979553,1.2243947982788086,0.5583452582359314,0.6956084370613098,0.744844377040863,0.7592290639877319,0.6943501532077789,0.6729106700227611,3.608575016260147,1077,2983,2983,4060,0.5162914991378784,0.7075757384300232,0.6414835453033447,1.2499618530273438,0.5176193714141846,121.72962188720703,94.14289093017578,13712.1259765625,0.8473458886146545,-0.033073775470256805,0.10089010000228882,0.8535031676292419,-0.027757911011576653,0.08783090114593506
dist-ba-clean-fix-c10,ap-ZML30J8bEmN2DlgwbKMmhR,c10_hlgauss_d2_logit_max50k_K128_s0.75,hlgauss,d2_logit,50000,128,0.75,10,4.106114008847405,333232,32805,4184,4060,4.2661,42.661,0.7072205543518066,0.7324816584587097,0.7620712518692017,0.705199271440506,0.6821760867668306,4.106114008847405,1151,3033,3033,4184,0.5276460647583008,0.7122570872306824,0.6545329689979553,1.2495800256729126,0.5334116220474243,0.695273220539093,0.7457877397537231,0.7564660310745239,0.6937353014945984,0.668369199620628,4.098503857851028,1077,2983,2983,4060,0.5069683790206909,0.7128404378890991,0.6291208863258362,1.2612240314483643,0.5101280808448792,99.12687683105469,92.57144927978516,17865.091796875,0.8420705795288086,-0.05729222670197487,0.10089010000228882,0.8511565327644348,-0.04667465016245842,0.08783090114593506
