label,split,metric,summary_value,recomputed_value,abs_diff,within_tolerance
c01_mhcflurry_additive_max50k,test,accuracy,0.7261146306991577,0.7261146496815286,1.8982370897369094e-08,True
c01_mhcflurry_additive_max50k,test,auprc,0.7910067439079285,0.7910813734312933,7.462952336478867e-05,True
c01_mhcflurry_additive_max50k,test,auroc,0.8041709661483765,0.804170534769749,4.313786274856568e-07,True
c01_mhcflurry_additive_max50k,test,balanced_accuracy,0.7243706583976746,0.7243706686241067,1.022643214554364e-08,True
c01_mhcflurry_additive_max50k,test,f1,0.6988573593219886,0.6988573534832289,5.8387596979514456e-09,True
c01_mhcflurry_additive_max50k,test,pearson,0.6045941710472107,0.6045941925706307,2.1523420046243302e-08,True
c01_mhcflurry_additive_max50k,test,precision,0.7541766166687012,0.7541766109785203,5.6901808820342126e-09,True
c01_mhcflurry_additive_max50k,test,recall,0.651098906993866,0.6510989010989011,5.8949648495953966e-09,True
c01_mhcflurry_additive_max50k,test,rmse_log10,1.1632225513458252,1.1632225305351556,2.0810669631998735e-08,True
c01_mhcflurry_additive_max50k,test,spearman,0.6048024296760559,0.604805336753938,2.9070778820861065e-06,True
c01_mhcflurry_additive_max50k,val,accuracy,0.734586238861084,0.7345862182657434,2.0595340544105056e-08,True
c01_mhcflurry_additive_max50k,val,auprc,0.7867008447647095,0.7866786774203864,2.2167344323031912e-05,True
c01_mhcflurry_additive_max50k,val,auroc,0.8112374544143677,0.8112372131673019,2.412470657686683e-07,True
c01_mhcflurry_additive_max50k,val,balanced_accuracy,0.7325163185596466,0.7325163145351794,4.024467203933568e-09,True
c01_mhcflurry_additive_max50k,val,f1,0.711158957590218,0.7111589522784356,5.311782347305893e-09,True
c01_mhcflurry_additive_max50k,val,pearson,0.6224733591079712,0.6224732889154897,7.019248149386925e-08,True
c01_mhcflurry_additive_max50k,val,precision,0.7445529699325562,0.7445529676934636,2.2390925780158e-09,True
c01_mhcflurry_additive_max50k,val,recall,0.6806318759918213,0.6806318681318682,7.859953132793862e-09,True
c01_mhcflurry_additive_max50k,val,rmse_log10,1.1493257284164429,1.1493257439860132,1.5569570299689417e-08,True
c01_mhcflurry_additive_max50k,val,spearman,0.6275354623794556,0.6275092805007739,2.6181878681641457e-05,True
c02_mhcflurry_additive_max200k,test,accuracy,0.7341602444648743,0.7341602413677506,3.0971236686383463e-09,True
c02_mhcflurry_additive_max200k,test,auprc,0.7973034977912903,0.7973550060808868,5.150828959654685e-05,True
c02_mhcflurry_additive_max200k,test,auroc,0.8124171495437622,0.8124181401440733,9.906003111126438e-07,True
c02_mhcflurry_additive_max200k,test,balanced_accuracy,0.7326124012470245,0.7326124268658649,2.5618840382435337e-08,True
c02_mhcflurry_additive_max200k,test,f1,0.7102667041688571,0.7102667153818049,1.1212947792493821e-08,True
c02_mhcflurry_additive_max200k,test,pearson,0.6208909749984741,0.620890989893916,1.48954418799363e-08,True
c02_mhcflurry_additive_max200k,test,precision,0.7587822079658508,0.7587822014051522,6.560698651014718e-09,True
c02_mhcflurry_additive_max200k,test,recall,0.6675823926925659,0.6675824175824175,2.4889851624187997e-08,True
c02_mhcflurry_additive_max200k,test,rmse_log10,1.1507232189178467,1.1507231091160324,1.0980181430753078e-07,True
c02_mhcflurry_additive_max200k,test,spearman,0.6209179759025574,0.6209209177199995,2.9418174420925425e-06,True
c02_mhcflurry_additive_max200k,val,accuracy,0.7431585788726807,0.7431585888559182,9.983237569954895e-09,True
c02_mhcflurry_additive_max200k,val,auprc,0.7910698652267456,0.7908312113827127,0.0002386538440328767,True
c02_mhcflurry_additive_max200k,val,auroc,0.8169549703598022,0.8169547043001386,2.6605966363391076e-07,True
c02_mhcflurry_additive_max200k,val,balanced_accuracy,0.74112868309021,0.7411286992968984,1.6206688435715932e-08,True
c02_mhcflurry_additive_max200k,val,f1,0.7206884158268062,0.7206884187880961,2.9612898799769027e-09,True
c02_mhcflurry_additive_max200k,val,pearson,0.63410484790802,0.6341047657324353,8.21755846702743e-08,True
c02_mhcflurry_additive_max200k,val,precision,0.7539384961128235,0.7539384846211553,1.1491668172602942e-08,True
c02_mhcflurry_additive_max200k,val,recall,0.6902472376823425,0.6902472527472527,1.506491020819567e-08,True
c02_mhcflurry_additive_max200k,val,rmse_log10,1.140857458114624,1.1408575090162119,5.090158783360721e-08,True
c02_mhcflurry_additive_max200k,val,spearman,0.6397463083267212,0.6397227844112259,2.352391549531596e-05,True
c03_log_mse_additive_max50k,test,accuracy,0.7207509279251099,0.720750921890714,6.034395871878928e-09,True
c03_log_mse_additive_max50k,test,auprc,0.7847844362258911,0.7848264135234337,4.197729754262802e-05,True
c03_log_mse_additive_max50k,test,auroc,0.8007405400276184,0.8007290474751182,1.1492552500214082e-05,True
c03_log_mse_additive_max50k,test,balanced_accuracy,0.7184610366821289,0.7184610167174018,1.9964727093757517e-08,True
c03_log_mse_additive_max50k,test,f1,0.6850661812027942,0.6850661625708885,1.8631905684962646e-08,True
c03_log_mse_additive_max50k,test,pearson,0.5937562584877014,0.5937562388978894,1.9589811994791262e-08,True
c03_log_mse_additive_max50k,test,precision,0.7619848847389221,0.7619848612279226,2.3510999480613748e-08,True
c03_log_mse_additive_max50k,test,recall,0.6222527623176575,0.6222527472527473,1.506491020819567e-08,True
c03_log_mse_additive_max50k,test,rmse_log10,1.1865205764770508,1.1865206131666524,3.668960157909851e-08,True
c03_log_mse_additive_max50k,test,spearman,0.5945550203323364,0.594546525384543,8.494947793424856e-06,True
c03_log_mse_additive_max50k,val,accuracy,0.7306297421455383,0.7306297395318166,2.613721683530912e-09,True
c03_log_mse_additive_max50k,val,auprc,0.7752392888069153,0.7749440197561793,0.0002952690507359579,True
c03_log_mse_additive_max50k,val,auroc,0.8034778237342834,0.8034422972398558,3.5526494427617905e-05,True
