head_type,max_nM,test_spearman,test_rmse_log10,test_auroc,test_auprc
hlgauss,50000,0.5138737261295319,1.255592942237854,0.7578475475311279,0.7453160583972931
hlgauss,200000,0.5360077619552612,1.2561044692993164,0.7692073583602905,0.756698727607727
log_mse,50000,0.5945550203323364,1.1865205764770508,0.8007405400276184,0.7847844362258911
log_mse,200000,0.5994569063186646,1.1864134073257446,0.8030474781990051,0.7866013050079346
mhcflurry,50000,0.6048024296760559,1.1632225513458252,0.8041709661483765,0.7910067439079285
mhcflurry,200000,0.6209179759025574,1.1507232189178467,0.8124171495437622,0.7973034977912903
twohot,50000,0.5053081214427948,1.264699935913086,0.7526701092720032,0.7412588894367218
twohot,200000,0.5283937156200409,1.2661272883415222,0.7649587690830231,0.7524695098400116
