head_type,test_spearman,test_rmse_log10,test_auroc,test_auprc,mean_epoch_time_s
mhcflurry,0.6128602027893066,1.156972885131836,0.8082940578460693,0.7941551208496094,4.333
log_mse,0.5970059633255005,1.1864669919013977,0.8018940091133118,0.7856928706169128,3.9457999999999998
hlgauss,0.5249407440423965,1.2558487057685852,0.7635274529457092,0.7510073930025101,4.4775
twohot,0.5168509185314178,1.265413612127304,0.7588144391775131,0.7468641996383667,4.82965
