run_id,label,head_type,assay_mode,max_nM,n_bins,epoch,epoch_time_s,train_loss,val_loss,val_spearman,val_pearson,val_rmse_log10,val_accuracy,val_auroc,val_auprc
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,1,4.999,0.09075777509877848,0.07636490902479957,0.2869037985801697,0.2885068953037262,1.4342892169952393,0.5717111825942993,0.6323864459991455,0.5929117202758789
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,2,3.974,0.06769420298957085,0.05951065186630277,0.4862828850746155,0.48082345724105835,1.311439871788025,0.6726014018058777,0.7369222044944763,0.698584794998169
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,3,3.95,0.05684461320439974,0.054473120938329136,0.5540012717247009,0.5470603108406067,1.2706804275512695,0.6960105299949646,0.7730119228363037,0.7401335835456848
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,4,3.947,0.05294915981764017,0.05064652213717208,0.5788200497627258,0.5744558572769165,1.203087568283081,0.7177711725234985,0.7857142090797424,0.7560615539550781
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,5,3.941,0.050720578680435814,0.04897692690000815,0.5965287089347839,0.5914050936698914,1.193994402885437,0.7190899848937988,0.79438716173172,0.7672312259674072
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,6,4.238,0.04920572992558627,0.04794282334692338,0.6076177358627319,0.6030204892158508,1.1731703281402588,0.7250247001647949,0.8004717826843262,0.7738187313079834
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,7,3.951,0.048332710598790365,0.04736018651986823,0.6149527430534363,0.6105050444602966,1.1629384756088257,0.7306297421455383,0.8041197061538696,0.778080403804779
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,8,3.929,0.04775513789450475,0.04697099240387187,0.6220114231109619,0.6175748109817505,1.1521904468536377,0.7329376935958862,0.8080251216888428,0.7832348942756653
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,9,3.927,0.04742946443978206,0.04657140834366574,0.6251116991043091,0.6199784278869629,1.1545723676681519,0.7316188812255859,0.8099152445793152,0.7847406268119812
dist-ba-clean-fix-c01,c01_mhcflurry_additive_max50k,mhcflurry,additive,50000,128,10,3.937,0.04701857736637426,0.04642089467276545,0.6275354623794556,0.6224733591079712,1.1493257284164429,0.734586238861084,0.8112374544143677,0.7867008447647095
