split,policy,scope,metric,mean,std,min,max,n_seeds
val,legacy_global_canonical,overall,n_all,1700.3333333333333,25.579940057266228,1676.0,1727.0,3
val,legacy_global_canonical,overall,n_exact,1382.3333333333333,12.503332889007368,1368.0,1391.0,3
val,legacy_global_canonical,overall,n_threshold_500nm,1700.3333333333333,25.579940057266228,1676.0,1727.0,3
val,legacy_global_canonical,overall,all_spearman,0.8008475493364388,0.013546787709190614,0.7855574810430871,0.8113519218552488,3
val,legacy_global_canonical,overall,all_pearson,0.8135567365389896,0.012364821628437812,0.7996316662572188,0.8232502288635177,3
val,legacy_global_canonical,overall,all_rmse,0.9173780712893137,0.012465684221558915,0.9033129640645734,0.9270606913497268,3
val,legacy_global_canonical,overall,exact_spearman,0.7857242752092324,0.015283726168932263,0.7681405200089871,0.7958203577013458,3
val,legacy_global_canonical,overall,exact_pearson,0.7792343936661347,0.013324279127258101,0.7648186578808822,0.7910980467329747,3
val,legacy_global_canonical,overall,exact_rmse,0.9648138954510972,0.005215306796176875,0.9602572126148557,0.9705020618098381,3
val,legacy_global_canonical,overall,threshold_500nm_accuracy,0.8627880784447167,0.006215427273279571,0.8581354950781702,0.8698468786808009,3
val,legacy_global_canonical,overall,threshold_500nm_balanced_accuracy,0.8650410625828179,0.003796992997688418,0.8607571601009547,0.8679912776846945,3
val,legacy_global_canonical,overall,threshold_500nm_precision,0.8095053607182253,0.02561915904662066,0.7818396226415094,0.832409972299169,3
val,legacy_global_canonical,overall,threshold_500nm_recall,0.8791372925064569,0.03292469516736271,0.8573466476462197,0.91701244813278,3
val,legacy_global_canonical,overall,threshold_500nm_f1,0.8422309410448737,0.0037213249655318327,0.837950138504155,0.8446943078004215,3
val,legacy_global_canonical,overall,threshold_500nm_auroc,0.9325204038630059,0.004156273014829082,0.9280766693804666,0.9363121511188992,3
val,legacy_global_canonical,overall,threshold_500nm_auprc,0.8924399242486872,0.010688299737375364,0.8840121003877631,0.9044620747771243,3
val,legacy_global_canonical,single,n_all,762.0,26.627053911388696,737.0,790.0,3
val,legacy_global_canonical,single,n_exact,693.0,19.078784028338912,675.0,713.0,3
val,legacy_global_canonical,single,n_threshold_500nm,762.0,26.627053911388696,737.0,790.0,3
val,legacy_global_canonical,single,all_spearman,0.7973393732213175,0.020502833724630277,0.7748290803230233,0.8149452067171226,3
val,legacy_global_canonical,single,all_pearson,0.8119880645549767,0.011894508997099729,0.8000492594554732,0.8238377769502331,3
val,legacy_global_canonical,single,all_rmse,0.8745572648131034,0.06276066112922565,0.820327337835539,0.9433043895523362,3
val,legacy_global_canonical,single,exact_spearman,0.7974901303759886,0.012072740700425294,0.7891407205554154,0.811332647073634,3
val,legacy_global_canonical,single,exact_pearson,0.8016522540808699,0.008672382396483084,0.7965776696028045,0.8116659532585372,3
val,legacy_global_canonical,single,exact_rmse,0.8797225963792985,0.04071935658223128,0.8396127500661301,0.9210252528743217,3
