step,split,metric,value
1,train,out_binding_class2_prob_mean,0.3271201106135623
1,train,out_binding_class2_prob_var,0.0004389213382498799
1,train,out_binding_core_kd_log10_mean,5.8584340628931075
1,train,out_binding_core_kd_log10_var,0.017212922191809688
1,train,out_binding_kd_bias_abs_mean,0.06761614693786507
1,train,out_binding_kd_bias_cap_mean,0.20131355865021883
1,train,out_binding_kd_bias_cap_var,0.0
1,train,out_binding_kd_bias_mean,0.06425272320965462
1,train,out_binding_kd_bias_near_cap_rate,0.0
1,train,out_binding_kd_bias_raw_abs_mean,0.6132266401644733
1,train,out_binding_kd_bias_raw_mean,0.5951869437723594
1,train,out_binding_kd_bias_raw_var,0.0010352016116346437
1,train,out_binding_kd_bias_var,1.1052180002287183e-05
1,train,out_binding_latents_log_koff_mean,-2.395184880596096
1,train,out_binding_latents_log_koff_var,0.040505741349711494
1,train,out_binding_latents_log_kon_chaperone_mean,0.42593938768920253
1,train,out_binding_latents_log_kon_chaperone_var,0.0007207254820583577
1,train,out_binding_latents_log_kon_intrinsic_mean,-1.097563917006729
1,train,out_binding_latents_log_kon_intrinsic_var,0.0011354767802759405
1,train,out_binding_log_koff_near_lower_rate,0.0
1,train,out_binding_log_koff_near_upper_rate,0.0
1,train,out_binding_log_kon_chaperone_near_lower_rate,0.0
1,train,out_binding_log_kon_chaperone_near_upper_rate,0.0
1,train,out_binding_log_kon_intrinsic_near_lower_rate,0.0
1,train,out_binding_log_kon_intrinsic_near_upper_rate,0.0
1,train,out_binding_logit_from_core_mean,-8.842557391877902
1,train,out_binding_logit_from_core_near_cap_rate,0.0
1,train,out_binding_logit_from_core_var,0.14681975700363706
1,train,out_binding_logit_mean,0.6462312538366196
1,train,out_binding_logit_prob_mean,0.5810724112947109
1,train,out_binding_logit_prob_var,0.00037000572452478665
1,train,out_binding_logit_var,0.012683261760068522
1,train,out_binding_mixed_kd_log10_mean,2.9281009476063615
1,train,out_binding_mixed_kd_log10_var,0.0020817176973959234
1,train,out_binding_mixed_logit_mean,0.6462312538366196
1,train,out_binding_mixed_logit_prob_mean,0.5810724112947109
1,train,out_binding_mixed_logit_prob_var,0.00037000572452478665
1,train,out_binding_mixed_logit_var,0.012683261760068522
1,train,out_binding_mixed_prob_mean,0.5810724112947109
1,train,out_binding_mixed_prob_var,0.00037000572452478665
1,train,out_binding_prob_mean,0.5810724112947109
1,train,out_binding_prob_var,0.00037000572452478665
1,train,out_binding_probe_core_kd_l1_mean,0.8067913263783617
1,train,out_binding_probe_core_kd_signed_mean,-0.80284783274914
1,train,out_binding_probe_mix_weight_mean,0.7494892114299839
1,train,out_binding_probe_mix_weight_var,0.0
1,train,out_binding_same_peptide_diff_allele_pairs,0.05084745762711865
1,train,out_binding_same_peptide_exact_pairs,0.0
1,train,out_binding_same_peptide_labeled_pairs,0.0
1,train,out_binding_same_peptide_pairs_used,0.0
1,train,out_binding_same_peptide_rankable_pairs,0.0
1,train,out_binding_sequence_summary_vec_mean,0.0
1,train,out_binding_sequence_summary_vec_var,0.0
1,train,out_binding_stability_score_mean,0.04630109599901963
1,train,out_binding_stability_score_raw_mean,0.04620961764416957
1,train,out_binding_stability_score_raw_var,0.00030448597125526297
1,train,out_binding_stability_score_var,0.0004563324847306106
1,train,out_chain_compat_logit_mean,0.1984369065296852
1,train,out_chain_compat_logit_prob_mean,0.5491792592456786
1,train,out_chain_compat_logit_prob_var,0.0003183838229449328
1,train,out_chain_compat_logit_var,0.005407394345315031
1,train,out_chain_compat_prob_mean,0.5491434967113753
1,train,out_chain_compat_prob_var,0.00031937262925350944
1,train,out_core_length_mean,8.949885513822911
1,train,out_core_length_norm_mean,0.9562039097486916
1,train,out_core_length_norm_var,0.006450792814020888
1,train,out_core_length_var,0.054645341513204874
1,train,out_core_membership_prob_mean,0.01999999941089901
1,train,out_core_membership_prob_var,0.0017806139875250727
1,train,out_core_relative_position_index_mean,24.132858195547332
1,train,out_core_relative_position_index_var,209.2679836467161
1,train,out_core_start_logit_mean,-9698.748601363877
1,train,out_core_start_logit_prob_mean,0.014438899581210089
1,train,out_core_start_logit_prob_var,0.006718811890804919
1,train,out_core_start_logit_var,2921479.9872881356
1,train,out_core_start_prob_mean,0.019999999521394907
1,train,out_core_start_prob_var,0.016112082266895953
1,train,out_core_start_probs_mean,0.019999999521394907
1,train,out_core_start_probs_var,0.016112082266895953
1,train,out_core_window_length_mean,8.12124685109672
1,train,out_core_window_length_var,0.5225078037987321
1,train,out_core_window_logit_mean,-9438.75786215572
1,train,out_core_window_logit_prob_mean,0.026230134590828822
1,train,out_core_window_logit_prob_var,0.011789905049411928
1,train,out_core_window_logit_var,5089791.665254237
1,train,out_core_window_mask_mean,0.05461204370831029
1,train,out_core_window_mask_var,0.05106199076557058
1,train,out_core_window_posterior_prob_mean,0.036709004152818754
1,train,out_core_window_posterior_prob_var,0.02872135711960116
1,train,out_core_window_prior_logit_mean,-9438.746102025952
1,train,out_core_window_prior_logit_prob_mean,0.029234254393347744
1,train,out_core_window_prior_logit_prob_var,0.014632252984190896
1,train,out_core_window_prior_logit_var,5090016.550847458
1,train,out_core_window_score_logit_mean,-9438.765484308793
1,train,out_core_window_score_logit_prob_mean,0.024312018771987347
1,train,out_core_window_score_logit_prob_var,0.010129700529278588
1,train,out_core_window_score_logit_var,5089647.411016949
1,train,out_core_window_start_mean,5.570732626874568
1,train,out_core_window_start_var,13.722434704586611
1,train,out_cpfr_length_mean,0.02143819318389741
1,train,out_cpfr_length_norm_mean,0.021731705262751904
1,train,out_cpfr_length_norm_var,0.0015831463728534151
1,train,out_cpfr_length_var,0.09620550744456507
1,train,out_elution_logit_mean,9.389556604926868
1,train,out_elution_logit_prob_mean,0.9902457650435172
1,train,out_elution_logit_prob_var,8.453713686622456e-05
1,train,out_elution_logit_var,0.825050532628419
1,train,out_elution_prob_mean,0.9902457650435172
1,train,out_elution_prob_var,8.453713686622456e-05
1,train,out_excision_c_terminus_score_mean,2.134478644799378
1,train,out_excision_c_terminus_score_var,4.695137194342028
1,train,out_excision_length_score_mean,0.0
1,train,out_excision_length_score_var,0.0
1,train,out_excision_logit_mean,4.225594539069018
1,train,out_excision_logit_prob_mean,0.745808524095406
1,train,out_excision_logit_prob_var,0.05620229273040037
1,train,out_excision_logit_var,18.658220406811115
1,train,out_excision_machinery_idx_mean,1.0
1,train,out_excision_machinery_idx_var,0.0
1,train,out_excision_missed_cleavage_score_mean,0.0
1,train,out_excision_missed_cleavage_score_var,0.0
1,train,out_excision_n_terminus_score_mean,2.0903741925939032
1,train,out_excision_n_terminus_score_var,4.656049189789189
1,train,out_excision_panel_apm_mean,4.215134553674419
1,train,out_excision_panel_apm_var,18.567946658801223
1,train,out_excision_panel_stimulus_mean,4.221318359912957
1,train,out_excision_panel_stimulus_var,18.621829257046773
1,train,out_excision_prob_mean,0.745808524095406
1,train,out_excision_prob_var,0.05620229273040037
1,train,out_foreignness_logit_mean,-0.5527408758209924
1,train,out_foreignness_logit_prob_mean,0.37037052795038383
1,train,out_foreignness_logit_prob_var,0.0035056009500433485
1,train,out_foreignness_logit_var,0.08088185464848875
1,train,out_foreignness_prob_mean,0.37038073272018107
1,train,out_foreignness_prob_var,0.003506379830946956
1,train,out_groove_vec_mean,0.02887950528223636
1,train,out_groove_vec_var,0.43153502754235673
1,train,out_immunogenicity_cd4_logit_mean,0.057872692912311875
1,train,out_immunogenicity_cd4_logit_prob_mean,0.514216898861578
1,train,out_immunogenicity_cd4_logit_prob_var,0.0011308090820498133
1,train,out_immunogenicity_cd4_logit_var,0.0186358511021708
1,train,out_immunogenicity_cd4_prob_mean,0.5142115612151259
1,train,out_immunogenicity_cd4_prob_var,0.0011318683869923638
1,train,out_immunogenicity_cd8_logit_mean,0.5252431340641894
1,train,out_immunogenicity_cd8_logit_prob_mean,0.6272901488562762
1,train,out_immunogenicity_cd8_logit_prob_var,0.0007506843824758415
1,train,out_immunogenicity_cd8_logit_var,0.015102285386647209
1,train,out_immunogenicity_cd8_prob_mean,0.6273163935895694
1,train,out_immunogenicity_cd8_prob_var,0.0007515049414211979
1,train,out_immunogenicity_logit_mean,0.5252431340641894
1,train,out_immunogenicity_logit_prob_mean,0.6272901488562762
1,train,out_immunogenicity_logit_prob_var,0.0007506843824758415
1,train,out_immunogenicity_logit_var,0.015102285386647209
1,train,out_immunogenicity_mixed_logit_mean,0.5252431340641894
1,train,out_immunogenicity_mixed_logit_prob_mean,0.6272901488562762
1,train,out_immunogenicity_mixed_logit_prob_var,0.0007506843824758415
1,train,out_immunogenicity_mixed_logit_var,0.015102285386647209
1,train,out_immunogenicity_mixed_prob_mean,0.6272901488562762
1,train,out_immunogenicity_mixed_prob_var,0.0007506843824758415
1,train,out_immunogenicity_mixture_logit_mean,0.5252431340641894
1,train,out_immunogenicity_mixture_logit_prob_mean,0.6272901488562762
1,train,out_immunogenicity_mixture_logit_prob_var,0.0007506843824758415
1,train,out_immunogenicity_mixture_logit_var,0.015102285386647209
1,train,out_immunogenicity_prob_mean,0.6272901488562762
1,train,out_immunogenicity_prob_var,0.0007506843824758415
1,train,out_immunogenicity_recognition_term_mean,0.06338466692052908
1,train,out_immunogenicity_recognition_term_var,0.00023911957704497627
1,train,out_latent_vecs_binding_affinity_mean,-0.04759482891393541
1,train,out_latent_vecs_binding_affinity_var,1.3200997690970109
1,train,out_latent_vecs_binding_stability_mean,-0.03391515295479005
1,train,out_latent_vecs_binding_stability_var,0.17971575806327797
1,train,out_latent_vecs_foreignness_mean,-0.01384763921595226
1,train,out_latent_vecs_foreignness_var,0.38240372667373235
1,train,out_latent_vecs_immunogenicity_cd4_mean,1.0581623712850761e-10
1,train,out_latent_vecs_immunogenicity_cd4_var,0.9996188843654374
1,train,out_latent_vecs_immunogenicity_cd8_mean,-3.6005458501692327e-11
1,train,out_latent_vecs_immunogenicity_cd8_var,0.9996009075035484
1,train,out_latent_vecs_immunogenicity_mixed_mean,-3.6005458501692327e-11
1,train,out_latent_vecs_immunogenicity_mixed_var,0.9996009075035484
1,train,out_latent_vecs_ms_detectability_mean,0.04882141611523042
1,train,out_latent_vecs_ms_detectability_var,1.2947955525527566
1,train,out_latent_vecs_pmhc_interaction_mean,0.00036062416176595803
1,train,out_latent_vecs_pmhc_interaction_var,1.0080246662689467
1,train,out_latent_vecs_presentation_class1_mean,-1.1018051736755297e-05
1,train,out_latent_vecs_presentation_class1_var,1.0028465960995625
1,train,out_latent_vecs_presentation_class2_mean,4.680011180850816e-10
1,train,out_latent_vecs_presentation_class2_var,0.9997972876338636
1,train,out_latent_vecs_presentation_mixed_mean,-1.1018051736755297e-05
1,train,out_latent_vecs_presentation_mixed_var,1.0028465960995625
1,train,out_latent_vecs_processing_class1_mean,0.026661176431797825
1,train,out_latent_vecs_processing_class1_var,1.5174399765871338
1,train,out_latent_vecs_processing_class2_mean,-0.021161634135612492
1,train,out_latent_vecs_processing_class2_var,0.4526625265509395
1,train,out_latent_vecs_processing_mean,0.026661176431797825
1,train,out_latent_vecs_processing_mixed_mean,0.026661176431797825
1,train,out_latent_vecs_processing_mixed_var,1.5174399765871338
1,train,out_latent_vecs_processing_var,1.5174399765871338
1,train,out_latent_vecs_recognition_cd4_mean,0.08594658333113638
1,train,out_latent_vecs_recognition_cd4_var,0.8000406112711308
1,train,out_latent_vecs_recognition_cd8_mean,-0.09421297472159741
1,train,out_latent_vecs_recognition_cd8_var,0.9146106526003046
1,train,out_latent_vecs_recognition_mean,-0.09421297472159741
1,train,out_latent_vecs_recognition_mixed_mean,-0.09421297472159741
1,train,out_latent_vecs_recognition_mixed_var,0.9146106526003046
1,train,out_latent_vecs_recognition_var,0.9146106526003046
1,train,out_latent_vecs_species_of_origin_mean,-0.09427901572090085
1,train,out_latent_vecs_species_of_origin_var,2.3873425656456058
1,train,out_mhc_a_species_logits_mean,-0.45886999305921716
1,train,out_mhc_a_species_logits_var,1.8726222734835187
1,train,out_mhc_a_type_logits_mean,-0.48612176110944316
1,train,out_mhc_a_type_logits_var,2.023710516186715
1,train,out_mhc_a_vec_mean,0.020881127187256085
1,train,out_mhc_a_vec_var,0.8083329700817496
1,train,out_mhc_b_species_logits_mean,-0.4965426448606334
1,train,out_mhc_b_species_logits_var,1.13319381818933
1,train,out_mhc_b_type_logits_mean,-0.5053212079456297
1,train,out_mhc_b_type_logits_var,1.8133117102591667
1,train,out_mhc_b_vec_mean,-0.036786763628913186
1,train,out_mhc_b_vec_var,0.6562090958073988
1,train,out_mhc_class_logits_mean,-3.051869992987584
1,train,out_mhc_class_logits_var,12.307077709317081
1,train,out_mhc_class_pred_mean,0.14132018008474576
1,train,out_mhc_class_pred_var,0.005523552328853284
1,train,out_mhc_class_probs_inferred_mean,0.5
1,train,out_mhc_class_probs_inferred_var,0.18432967027331607
1,train,out_mhc_class_probs_mean,0.5
1,train,out_mhc_class_probs_var,0.25
1,train,out_mhc_is_class1_prob_mean,1.0
1,train,out_mhc_is_class1_prob_var,0.0
1,train,out_mhc_is_class2_prob_mean,0.0
