epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,val_spearman,val_pearson,val_rmse_log10,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_n_samples
1,0.13484714640414014,0.11743853489557902,21.48582262499258,0.01331137539818883,8.493100496008992,1.8816365450620651,1.993182416073978,16.48550049820915,0.9655722500756383,3.152008790988475,0.001,0.14092807274892383,0.015351679026671717,0.17984989021388456,False,,1052,136,0,0.509577332995832,-0.13304348289966583,-0.10374996811151505,1.8699465990066528,0.625,0.46875,0.0,0.0,0.0,0.5078125,0.35178452730178833,24.0
2,0.05297459738657755,0.12904363125562668,14.665193959139287,0.014800582081079483,6.378977417014539,1.328204750083387,1.305559084750712,10.886888626497239,0.9172283327206969,0.9569190419279039,0.001,0.10127725519556714,0.007621450144402721,0.11224491818076059,False,,2061,136,0,0.28884983295574784,-0.2460869550704956,-0.32294562458992004,1.943414330482483,0.6666666865348816,0.5,0.0,0.0,0.0,0.3828125,0.32457470893859863,24.0
3,0.04430912424098043,0.11554400871197383,15.289320166688412,0.015059919096529484,6.618451084010303,1.4216630849987268,1.3369224988855422,11.27471083495766,0.9259684588760138,0.9717057081870735,0.001,0.09162132718172786,0.015335197451579952,0.07210759309962848,False,,3070,136,0,0.3223427077755332,-0.44260868430137634,-0.3929359018802643,1.8411253690719604,0.6666666865348816,0.5,0.0,0.0,0.0,0.2578125,0.25489601492881775,24.0
