run_id,label,epoch,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,train_loss,val_loss,display_label
e004-scorepath-20260309a,e004-scorepath-20260309a,1,1.0071417306152841,0.106800979318074,4.482703819323152,0.9405663509028298,0.8202410477858323,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,2,0.5145779180119955,0.008797953851672929,2.5180247050745854,0.39310666339738026,0.8235476108697745,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,3,0.3849560715652714,0.006729051011052451,2.2326136999914232,0.35550851055553984,0.7661607013298914,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,4,0.3391286096946025,0.005481567351552759,1.9954889623215033,0.3324422880581447,0.7314930306031153,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,5,0.2854878379186115,0.004252219732926696,1.723866780058948,0.30341426270348687,0.7620764741530786,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,6,0.245078576227305,0.0037329083974216534,1.5941132171173333,0.2841132747275489,0.7234258330785311,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,7,0.21360786942542084,0.003054696245248041,1.5083450470214033,0.261700633083071,0.8472630450358758,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,8,0.20344577700436203,0.0029347636537486515,1.4837601542658814,0.23661143243312835,0.7873656337077801,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,9,0.1780053481800468,0.0026158347129101246,1.2786763352990105,0.21946091077157429,0.6966281120593731,e004-scorepath-20260309a
e004-scorepath-20260309a,e004-scorepath-20260309a,10,0.20181817197634802,0.0032761675526517438,1.4358243788594616,0.20633247639451707,0.7147656426979945,e004-scorepath-20260309a
e004-scorepathb-20260309a,e004-scorepathb-20260309a,1,0.8439615569800006,0.20532680317998467,3.5315296359227912,0.9110173438276563,0.7358683806199294,e004-scorepathb-20260309a
e004-scorepathb-20260309a,e004-scorepathb-20260309a,2,0.5208323073464892,0.03314668908811176,2.492357927805001,0.3955408651488168,0.8450415042730478,e004-scorepathb-20260309a
e004-scorepathb-20260309a,e004-scorepathb-20260309a,3,0.46226743370618467,0.020167696079524552,2.365207441315027,0.3760113527093615,0.727308839559555,e004-scorepathb-20260309a
e004-scorepathb-20260309a,e004-scorepathb-20260309a,4,0.299624555969699,0.01266343832383061,1.876895708606004,0.3302828778539385,0.7280011520935938,e004-scorepathb-20260309a
e004-scorepathb-20260309a,e004-scorepathb-20260309a,5,0.3146337040865713,0.011505710205388322,1.9451032954854266,0.31777881153992243,0.7907628646263709,e004-scorepathb-20260309a
e004-scorepathb-20260309a,e004-scorepathb-20260309a,6,0.2471391575288735,0.008526185781061995,1.5517907954641315,0.2920829610313688,0.7007229190606338,e004-scorepathb-20260309a
e004-scorepathb-20260309a,e004-scorepathb-20260309a,7,0.20453703014149524,0.005745013679423947,1.4984298529184414,0.2709498832906995,0.7114490087215717,e004-scorepathb-20260309a
