run_id,label,cond_id,content_conditioned,encoder_backbone,test_spearman,test_auroc,test_auprc,test_f1,test_rmse_log10
dist-ba-v6-mainpath-groove-c01-cc0,c01_mhcflurry_additive_max50k_d32,1,False,groove,0.8463010191917419,0.9491695761680604,0.9174090623855592,0.8414634016078189,0.8346529603004456
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,1,False,historical_ablation,0.8394712805747986,0.9405120015144348,0.9000166654586792,0.8427835027139379,0.8404426574707031
dist-ba-v6-mainpath-groove-c01-cc1,c01_mhcflurry_additive_max50k_d32,1,True,groove,0.8350666165351868,0.9426447749137878,0.9033557176589966,0.8391699293763407,0.8474835753440857
dist-ba-v6-mainpath-ablation-c01-cc1,c01_mhcflurry_additive_max50k_d32,1,True,historical_ablation,0.8377147912979126,0.9397045969963074,0.8942728042602539,0.845052867325158,0.8493280410766602
dist-ba-v6-mainpath-groove-c02-cc0,c02_mhcflurry_additive_max100k_d32,2,False,groove,0.8442927002906799,0.9455405473709106,0.9094903469085692,0.8332207872346431,0.8454731702804565
dist-ba-v6-mainpath-ablation-c02-cc0,c02_mhcflurry_additive_max100k_d32,2,False,historical_ablation,0.8435156345367432,0.941203236579895,0.9044540524482728,0.8462029316779482,0.8303825259208679
dist-ba-v6-mainpath-groove-c02-cc1,c02_mhcflurry_additive_max100k_d32,2,True,groove,0.8414764404296875,0.9451749920845032,0.9088630676269532,0.8424479192392222,0.8409430384635925
dist-ba-v6-mainpath-ablation-c02-cc1,c02_mhcflurry_additive_max100k_d32,2,True,historical_ablation,0.8411713242530823,0.938453197479248,0.8908378481864929,0.8401769068817755,0.8526405692100525
dist-ba-v6-mainpath-groove-c03-cc0,c03_hlgauss_d2_logit_max50k_K128_s0.75_d32,3,False,groove,0.8231719136238098,0.9343709945678712,0.8835211992263794,0.8378728826438134,0.8605784177780151
dist-ba-v6-mainpath-ablation-c03-cc0,c03_hlgauss_d2_logit_max50k_K128_s0.75_d32,3,False,historical_ablation,0.8328760266304016,0.9406406879425048,0.8985676765441895,0.8429546799956261,0.8474474549293518
dist-ba-v6-mainpath-groove-c03-cc1,c03_hlgauss_d2_logit_max50k_K128_s0.75_d32,3,True,groove,0.823319137096405,0.9335135817527772,0.8931744694709778,0.8207861509617692,0.8737680912017822
dist-ba-v6-mainpath-ablation-c03-cc1,c03_hlgauss_d2_logit_max50k_K128_s0.75_d32,3,True,historical_ablation,0.8167983293533325,0.9271663427352904,0.8702006340026855,0.8122096858818398,0.8972986340522766
dist-ba-v6-mainpath-groove-c04-cc0,c04_hlgauss_d2_logit_max100k_K128_s0.75_d32,4,False,groove,0.8244292736053467,0.938284695148468,0.8906438946723938,0.8367609341574214,0.8710840940475464
dist-ba-v6-mainpath-ablation-c04-cc0,c04_hlgauss_d2_logit_max100k_K128_s0.75_d32,4,False,historical_ablation,0.8358094692230225,0.9398435950279236,0.8938397169113159,0.8380101841282598,0.8510555624961853
dist-ba-v6-mainpath-groove-c04-cc1,c04_hlgauss_d2_logit_max100k_K128_s0.75_d32,4,True,groove,0.8230764269828796,0.9359162449836732,0.8955826759338379,0.8346153805120293,0.871346652507782
dist-ba-v6-mainpath-ablation-c04-cc1,c04_hlgauss_d2_logit_max100k_K128_s0.75_d32,4,True,historical_ablation,0.8129550814628601,0.9299402832984924,0.8765312433242798,0.8240621005829001,0.9081209301948548
dist-ba-v6-mainpath-groove-c05-cc0,c05_mhcflurry_additive_max50k_d64,5,False,groove,0.8347319960594177,0.9374364614486694,0.8917765617370605,0.8433268596199508,0.8640674948692322
dist-ba-v6-mainpath-ablation-c05-cc0,c05_mhcflurry_additive_max50k_d64,5,False,historical_ablation,0.8292795419692993,0.934750199317932,0.8917062878608704,0.8258575179692336,0.8853679299354553
dist-ba-v6-mainpath-groove-c05-cc1,c05_mhcflurry_additive_max50k_d64,5,True,groove,0.8369337916374207,0.9409083724021912,0.9007834196090698,0.8312208113674833,0.8627250790596008
dist-ba-v6-mainpath-ablation-c05-cc1,c05_mhcflurry_additive_max50k_d64,5,True,historical_ablation,0.8402541875839233,0.9396067261695862,0.8938234448432922,0.8357236047655985,0.8531829118728638
dist-ba-v6-mainpath-groove-c06-cc0,c06_mhcflurry_additive_max100k_d64,6,False,groove,0.8248630166053772,0.9325627088546752,0.8807636499404907,0.8280839964036762,0.8927005529403687
dist-ba-v6-mainpath-ablation-c06-cc0,c06_mhcflurry_additive_max100k_d64,6,False,historical_ablation,0.8295210003852844,0.9347137212753296,0.8937859535217285,0.8238375964638499,0.8796153664588928
dist-ba-v6-mainpath-groove-c06-cc1,c06_mhcflurry_additive_max100k_d64,6,True,groove,0.8251618146896362,0.9361074566841124,0.8915138244628906,0.8291054711821477,0.8912893533706665
dist-ba-v6-mainpath-ablation-c06-cc1,c06_mhcflurry_additive_max100k_d64,6,True,historical_ablation,0.8391268253326416,0.9375548362731934,0.8974720239639282,0.8426395780950797,0.8634611964225769
dist-ba-v6-mainpath-groove-c07-cc0,c07_hlgauss_d2_logit_max50k_K128_s0.75_d64,7,False,groove,0.8156620264053345,0.9397342205047609,0.900417149066925,0.8475648331230787,0.8783612251281738
dist-ba-v6-mainpath-ablation-c07-cc0,c07_hlgauss_d2_logit_max50k_K128_s0.75_d64,7,False,historical_ablation,0.8143137097358704,0.9329134225845336,0.8847340941429138,0.8234527427725269,0.8972410559654236
dist-ba-v6-mainpath-groove-c07-cc1,c07_hlgauss_d2_logit_max50k_K128_s0.75_d64,7,True,groove,0.8161483407020569,0.9340020418167114,0.8955262899398804,0.8174706501362762,0.8994812965393066
dist-ba-v6-mainpath-ablation-c07-cc1,c07_hlgauss_d2_logit_max50k_K128_s0.75_d64,7,True,historical_ablation,0.8073566555976868,0.9255073666572572,0.8898252248764038,0.794701988290921,0.8992109298706055
dist-ba-v6-mainpath-groove-c08-cc0,c08_hlgauss_d2_logit_max100k_K128_s0.75_d64,8,False,groove,0.8189669847488403,0.937423825263977,0.8939498662948608,0.8477157121000827,0.8794931769371033
dist-ba-v6-mainpath-ablation-c08-cc0,c08_hlgauss_d2_logit_max100k_K128_s0.75_d64,8,False,historical_ablation,0.8122086524963379,0.9296100735664368,0.8842014074325562,0.8199481974961964,0.9065120816230774
dist-ba-v6-mainpath-groove-c08-cc1,c08_hlgauss_d2_logit_max100k_K128_s0.75_d64,8,True,groove,0.8098711967468262,0.9319444894790648,0.8807846903800964,0.8222950762913516,0.9102813005447388
dist-ba-v6-mainpath-ablation-c08-cc1,c08_hlgauss_d2_logit_max100k_K128_s0.75_d64,8,True,historical_ablation,0.8229973912239075,0.9369524121284484,0.8906673192977905,0.8361290283457667,0.8789907693862915
dist-ba-v6-mainpath-groove-c09-cc0,c09_mhcflurry_additive_max50k,9,False,groove,0.82405024766922,0.9337002635002136,0.8888328671455383,0.834086512784635,0.8860348463058472
dist-ba-v6-mainpath-ablation-c09-cc0,c09_mhcflurry_additive_max50k,9,False,historical_ablation,0.8234118223190308,0.9324192404747008,0.8901427388191223,0.8367609341574214,0.8881099820137024
dist-ba-v6-mainpath-groove-c09-cc1,c09_mhcflurry_additive_max50k,9,True,groove,0.829957127571106,0.9353821277618408,0.8920102119445801,0.8379961146875121,0.8765015602111816
dist-ba-v6-mainpath-ablation-c09-cc1,c09_mhcflurry_additive_max50k,9,True,historical_ablation,0.8292663097381592,0.9369946122169496,0.8981794714927673,0.8292993724466583,0.8585241436958313
dist-ba-v6-mainpath-groove-c10-cc0,c10_mhcflurry_additive_max100k,10,False,groove,0.8264502286911011,0.9293026328086852,0.882217288017273,0.8304320003515725,0.9116243720054626
dist-ba-v6-mainpath-ablation-c10-cc0,c10_mhcflurry_additive_max100k,10,False,historical_ablation,0.8294909000396729,0.9345349669456482,0.8927711248397827,0.8206451905213832,0.8804645538330078
dist-ba-v6-mainpath-groove-c10-cc1,c10_mhcflurry_additive_max100k,10,True,groove,0.8288276195526123,0.935748815536499,0.898463249206543,0.8378378469236786,0.872088611125946
dist-ba-v6-mainpath-ablation-c10-cc1,c10_mhcflurry_additive_max100k,10,True,historical_ablation,0.8344773054122925,0.9395771622657776,0.8943955898284912,0.8381962685478535,0.8597530126571655
dist-ba-v6-mainpath-groove-c11-cc0,c11_hlgauss_d2_logit_max50k_K128_s0.75,11,False,groove,0.8075312972068787,0.92612224817276,0.8739057183265686,0.8182393709032795,0.9249191284179688
dist-ba-v6-mainpath-ablation-c11-cc0,c11_hlgauss_d2_logit_max50k_K128_s0.75,11,False,historical_ablation,0.8018820881843567,0.9260084629058838,0.8710796236991882,0.8205804736480369,0.9092372059822084
dist-ba-v6-mainpath-groove-c11-cc1,c11_hlgauss_d2_logit_max50k_K128_s0.75,11,True,groove,0.8017463088035583,0.9270401000976562,0.8744951486587524,0.8319381646611018,0.9218669533729552
dist-ba-v6-mainpath-ablation-c11-cc1,c11_hlgauss_d2_logit_max50k_K128_s0.75,11,True,historical_ablation,0.7995073199272156,0.9248275756835938,0.8693341612815857,0.801089905540873,0.921375036239624
dist-ba-v6-mainpath-groove-c12-cc0,c12_hlgauss_d2_logit_max100k_K128_s0.75,12,False,groove,0.8104420304298401,0.9326879978179932,0.8905206918716431,0.8271767863233036,0.9236157536506652
dist-ba-v6-mainpath-ablation-c12-cc0,c12_hlgauss_d2_logit_max100k_K128_s0.75,12,False,historical_ablation,0.803727924823761,0.927577555179596,0.8810025453567505,0.8190224664764546,0.9238212704658508
dist-ba-v6-mainpath-groove-c12-cc1,c12_hlgauss_d2_logit_max100k_K128_s0.75,12,True,groove,0.8114781975746155,0.935800075531006,0.8906461596488953,0.831402829060028,0.9052783846855164
dist-ba-v6-mainpath-ablation-c12-cc1,c12_hlgauss_d2_logit_max100k_K128_s0.75,12,True,historical_ablation,0.8134944438934326,0.9281058311462402,0.8837344646453857,0.801597868115864,0.9052075743675232
dist-ba-v6-mainpath-groove-c13-cc0,c13_mhcflurry_additive_max50k_d256,13,False,groove,0.8372524380683899,0.940710186958313,0.8984652161598206,0.8498727769320567,0.8580207228660583
dist-ba-v6-mainpath-ablation-c13-cc0,c13_mhcflurry_additive_max50k_d256,13,False,historical_ablation,0.8323734998703003,0.9373509883880616,0.8912676572799683,0.8413705674823849,0.8760621547698975
dist-ba-v6-mainpath-groove-c13-cc1,c13_mhcflurry_additive_max50k_d256,13,True,groove,0.8254544138908386,0.94125896692276,0.9032614827156068,0.8373930276573812,0.8742830753326416
dist-ba-v6-mainpath-ablation-c13-cc1,c13_mhcflurry_additive_max50k_d256,13,True,historical_ablation,0.8325362205505371,0.935731828212738,0.8972811698913574,0.8345323824186058,0.8748793005943298
dist-ba-v6-mainpath-groove-c14-cc0,c14_mhcflurry_additive_max100k_d256,14,False,groove,0.827731728553772,0.9355859756469728,0.9010571241378784,0.8325849861627564,0.8870585560798645
dist-ba-v6-mainpath-ablation-c14-cc0,c14_mhcflurry_additive_max100k_d256,14,False,historical_ablation,0.822218120098114,0.9358046054840088,0.8841116428375244,0.82683707049909,0.889258086681366
dist-ba-v6-mainpath-groove-c14-cc1,c14_mhcflurry_additive_max100k_d256,14,True,groove,0.8371328115463257,0.9404243230819702,0.904018223285675,0.8421052466879925,0.860334038734436
dist-ba-v6-mainpath-ablation-c14-cc1,c14_mhcflurry_additive_max100k_d256,14,True,historical_ablation,0.8370053768157959,0.9408172369003296,0.9019954800605774,0.831032214926915,0.8578457236289978
dist-ba-v6-mainpath-groove-c15-cc0,c15_hlgauss_d2_logit_max50k_K128_s0.75_d256,15,False,groove,0.8035005927085876,0.9248366355895996,0.8820292353630066,0.816901406971662,0.910189688205719
dist-ba-v6-mainpath-ablation-c15-cc0,c15_hlgauss_d2_logit_max50k_K128_s0.75_d256,15,False,historical_ablation,0.8108241558074951,0.9334145188331604,0.8923705816268921,0.8335450939696706,0.9070122838020324
dist-ba-v6-mainpath-groove-c15-cc1,c15_hlgauss_d2_logit_max50k_K128_s0.75_d256,15,True,groove,0.8010764718055725,0.9224887490272522,0.8793634176254272,0.8079734264628131,0.9381272792816162
dist-ba-v6-mainpath-ablation-c15-cc1,c15_hlgauss_d2_logit_max50k_K128_s0.75_d256,15,True,historical_ablation,0.8089090585708618,0.9274909496307372,0.884484052658081,0.8267716533357946,0.8932234644889832
dist-ba-v6-mainpath-groove-c16-cc0,c16_hlgauss_d2_logit_max100k_K128_s0.75_d256,16,False,groove,0.7994320392608643,0.9264808893203736,0.8832027316093445,0.8245954755644506,0.920898139476776
dist-ba-v6-mainpath-ablation-c16-cc0,c16_hlgauss_d2_logit_max100k_K128_s0.75_d256,16,False,historical_ablation,0.7831221222877502,0.9171674847602844,0.8453852534294128,0.8153445962679997,0.978452205657959
dist-ba-v6-mainpath-groove-c16-cc1,c16_hlgauss_d2_logit_max100k_K128_s0.75_d256,16,True,groove,0.7918453812599182,0.920956015586853,0.8829923868179321,0.7934782605030989,0.9664331078529358
dist-ba-v6-mainpath-ablation-c16-cc1,c16_hlgauss_d2_logit_max100k_K128_s0.75_d256,16,True,historical_ablation,0.7848183512687683,0.918228805065155,0.8789896965026855,0.8013114913027506,0.9732967615127563
