encoder_backbone,mean_test_spearman,max_test_spearman,mean_test_auroc,mean_test_rmse_log10,n_runs
groove,0.8221056759357452,0.8463010191917419,0.9351019058376551,0.8862813655287027,32
historical_ablation,0.8219510912895203,0.8435156345367432,0.93328514136374,0.885525668039918,32
