run_id,label,epoch,epoch_time_s,train_grad_norm_output,train_loss,train_loss_mhcflurry,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_f1,val_loss,val_n_samples,val_pearson,val_precision,val_recall,val_rmse_log10,val_spearman,train_loss_ce,train_loss_surv,train_n_censored,train_n_exact,val_coverage_90,val_entropy_error_srcc,val_pit_ks,display_label
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,1,2.91,0.04314387149986674,0.08066924582006502,0.08066924582006502,0.7842626571655273,0.7804110050201416,0.8609040975570679,0.7667210698127747,0.7152682403596449,0.05628834245726466,1919,0.6544436812400818,0.7536231875419617,0.6806282997131348,1.1828813552856445,0.66982501745224,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,2,1.93,0.023363777306541555,0.04929218563388606,0.04929218563388606,0.8259510397911072,0.8279192447662354,0.8998810052871704,0.8161969482898712,0.7785146029837994,0.04385006334632635,1919,0.7444502115249634,0.7889785170555115,0.768324613571167,1.0397872924804688,0.7450761198997498,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,3,2.23,0.020080600773579763,0.04283208314512597,0.04283208314512597,0.8342887163162231,0.8372330665588379,0.9067972302436829,0.8288836181163788,0.7940414417386551,0.04044936504215002,1919,0.7662884593009949,0.785897433757782,0.8023560047149658,0.9983084797859192,0.7601730823516846,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,4,2.55,0.01955795400302674,0.039586188912880224,0.039586188912880224,0.8514851331710815,0.8525601029396057,0.9145429134368896,0.8438339829444885,0.8121292025142103,0.03775647305883467,1919,0.785047709941864,0.818061113357544,0.8062826991081238,0.9643547534942627,0.776246190071106,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,5,2.09,0.019928987015832643,0.0373030780341293,0.0373030780341293,0.854090690612793,0.8563136458396912,0.9176479578018188,0.8482140004634857,0.8172323723058573,0.03663735371083021,1919,0.7915244698524475,0.8151041865348816,0.8193717002868652,0.9525759816169739,0.7808282971382141,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,6,2.07,0.02323250386283779,0.03566752682577391,0.03566752682577391,0.8551328778266907,0.8732874393463135,0.921349287033081,0.8415471017360687,0.8098495171157503,0.03661611815914512,1919,0.7992831468582153,0.8481375575065613,0.7748690843582153,0.9469071626663208,0.7914021611213684,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,7,2.05,0.022212958909937592,0.034442581450108624,0.034442581450108624,0.86086505651474,0.8710938692092896,0.9234083294868469,0.8549494445323944,0.8253760681690704,0.03433887520805001,1919,0.806262731552124,0.8248366117477417,0.8259162306785583,0.9203697443008423,0.7950069308280945,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,8,2.09,0.018462007819506965,0.03321658364939885,0.03321658364939885,0.8572173118591309,0.8722766637802124,0.9242186546325684,0.8554639518260956,0.8252550903281064,0.034378357231616974,1919,0.8087783455848694,0.8047263622283936,0.8468586206436157,0.9161417484283447,0.7974658608436584,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,9,2.19,0.015935182372932552,0.0324915449333484,0.0324915449333484,0.8572173118591309,0.8747962117195129,0.9254493713378906,0.8521407246589661,0.8218465486243981,0.03331039659678936,1919,0.8122492432594299,0.8165374398231506,0.8272251486778259,0.9077484011650085,0.800953209400177,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,10,2.24,0.017610691098465782,0.03183955696151882,0.03183955696151882,0.8645127415657043,0.8791239857673645,0.926969051361084,0.8619676530361176,0.8331194002745198,0.03325427183881402,1919,0.8132576942443848,0.8173803687095642,0.8494764566421509,0.904915452003479,0.8017593622207642,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,11,2.1,0.01559084246209899,0.03078156114235276,0.03078156114235276,0.8665971755981445,0.8792961239814758,0.9271458387374878,0.8594897985458374,0.8311345434437152,0.033492670860141516,1919,0.8128460049629211,0.8377659320831299,0.8246073126792908,0.906417965888977,0.8028620481491089,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,12,2.68,0.015340918217037544,0.03038186866973267,0.03038186866973267,0.8665971755981445,0.8812066316604614,0.9295653104782104,0.8572742938995361,0.8288769907127604,0.03311370266601443,1919,0.8157796263694763,0.8469945192337036,0.8115183115005493,0.9042106866836548,0.8028836846351624,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,13,2.19,0.01756453761433969,0.029689470397644354,0.029689470397644354,0.8671182990074158,0.882183313369751,0.9305251240730286,0.8625813126564026,0.8343079912861566,0.03252257499843836,1919,0.8167962431907654,0.8283870816230774,0.8403141498565674,0.8963586091995239,0.8046276569366455,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,14,2.17,0.020632957260994636,0.029507201958875188,0.029507201958875188,0.8655549883842468,0.8860580325126648,0.9301149249076843,0.8599533140659332,0.831372568955145,0.03317478741519153,1919,0.8148069381713867,0.8302872180938721,0.8324607610702515,0.9019098281860352,0.8018637299537659,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,15,2.1,0.017450793714980123,0.028742780817336725,0.028742780817336725,0.8697237968444824,0.8890516757965088,0.9321161508560181,0.8631949722766876,0.8355263283279134,0.032090371707454324,1919,0.8207605481147766,0.8399471044540405,0.8311518430709839,0.8896820545196533,0.8064650893211365,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,16,2.0,0.01635967438551979,0.028320647898267527,0.028320647898267527,0.8707660436630249,0.8903344869613647,0.9318623542785645,0.8653900623321533,0.8379085051626878,0.03222798649221659,1919,0.8192136287689209,0.8368146419525146,0.8390052318572998,0.8914021849632263,0.8061397075653076,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,17,1.9,0.0165071529946977,0.02748862000518158,0.02748862000518158,0.8764981627464294,0.8930022120475769,0.9337560534477234,0.8661640584468842,0.8401888054104867,0.03188908938318491,1919,0.8249160051345825,0.8664812445640564,0.8154450058937073,0.8869396448135376,0.8114004731178284,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,18,1.84,0.020679486136822425,0.027118384929709746,0.027118384929709746,0.8655549883842468,0.8944998979568481,0.9327576756477356,0.8637196719646454,0.8350383898521351,0.03164928965270519,1919,0.8280343413352966,0.8162500262260437,0.8547120690345764,0.8774363994598389,0.8146269917488098,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,19,1.88,0.0201835586674145,0.02640851593164147,0.02640851593164147,0.8728504180908203,0.8961391448974609,0.9346320629119873,0.8680078685283661,0.8409387263259208,0.03072625817731023,1919,0.8282737135887146,0.8376623392105103,0.8442408442497253,0.8721240758895874,0.8138091564178467,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,20,2.23,0.01994840536632987,0.025778875976312357,0.025778875976312357,0.875977098941803,0.9016710519790649,0.9367625713348389,0.8703837096691132,0.8440366790555476,0.030201135436072946,1919,0.8317537307739258,0.8451443314552307,0.8429319262504578,0.8634150624275208,0.8166515827178955,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,21,1.91,0.017838449415857674,0.02500985410125529,0.02500985410125529,0.8712871074676514,0.9015279412269592,0.9372985363006592,0.8709186017513275,0.8431745845507302,0.03040858614258468,1919,0.8335191607475281,0.8187422752380371,0.8691099286079407,0.864034116268158,0.8188888430595398,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,22,1.84,0.020301992043119964,0.02461493332855037,0.02461493332855037,0.8718082308769226,0.896164059638977,0.9362242221832275,0.8680282831192017,0.8406735808853366,0.029892663937062025,1919,0.8324733972549438,0.8320512771606445,0.8494764566421509,0.8608568906784058,0.818601131439209,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,23,1.67,0.01821126085019014,0.024280951373645516,0.024280951373645516,0.8645127415657043,0.902466356754303,0.9372645616531372,0.8641831576824188,0.8352344712090952,0.029907595366239548,1919,0.8352516293525696,0.8095822930335999,0.8625654578208923,0.8594085574150085,0.8216012120246887,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
dist-ba-v6-mainpath-ablation-c01-cc0,c01_mhcflurry_additive_max50k_d32,24,1.66,0.017699587555815938,0.024063323273277672,0.024063323273277672,0.8764981627464294,0.8984956741333008,0.9358808994293213,0.8688226640224457,0.8427339173134099,0.030339087126776576,1919,0.8310651779174805,0.8546433448791504,0.8311518430709839,0.8675048351287842,0.8170274496078491,,,,,,,,c01_mhcflurry_additive_max50k_d32 [dist-ba-v6-mainpath-ablation-c01-cc0]
