label,split,metric,summary_value,recomputed_value,abs_diff,within_tolerance
c01_mhcflurry_additive_max200k_cold,test,accuracy,0.7613140940666199,0.7613141133087495,1.924212966741834e-08,True
c01_mhcflurry_additive_max200k_cold,test,auprc,0.8386918902397156,0.8387485675448256,5.667730511005331e-05,True
c01_mhcflurry_additive_max200k_cold,test,auroc,0.8522762656211853,0.8522762437300747,2.1891110590921414e-08,True
c01_mhcflurry_additive_max200k_cold,test,balanced_accuracy,0.7600930333137512,0.7600930503680995,1.705434826693164e-08,True
c01_mhcflurry_additive_max200k_cold,test,f1,0.7435158565288362,0.7435158501440923,6.384743955756278e-09,True
c01_mhcflurry_additive_max200k_cold,test,pearson,0.6843882203102112,0.6843882551388252,3.4828613992843316e-08,True
c01_mhcflurry_additive_max200k_cold,test,precision,0.7818182110786438,0.7818181818181819,2.9260461942293148e-08,True
c01_mhcflurry_additive_max200k_cold,test,recall,0.708791196346283,0.7087912087912088,1.244492586760515e-08,True
c01_mhcflurry_additive_max200k_cold,test,rmse_log10,1.0746128559112549,1.074612934215507,7.830425219346182e-08,True
c01_mhcflurry_additive_max200k_cold,test,spearman,0.686509370803833,0.6865167816550616,7.410851228573101e-06,True
c01_mhcflurry_additive_max200k_cold,val,accuracy,0.7711836695671082,0.7711836465545664,2.3012541761069372e-08,True
c01_mhcflurry_additive_max200k_cold,val,auprc,0.8448742628097534,0.8448464739832708,2.7788826482577633e-05,True
c01_mhcflurry_additive_max200k_cold,val,auroc,0.8581706285476685,0.8581713348477774,7.063001089546717e-07,True
c01_mhcflurry_additive_max200k_cold,val,balanced_accuracy,0.7695805132389069,0.7695804908471364,2.2391770437835135e-08,True
c01_mhcflurry_additive_max200k_cold,val,f1,0.7537260601673836,0.7537260468417317,1.3325651915252479e-08,True
c01_mhcflurry_additive_max200k_cold,val,pearson,0.7131080031394958,0.7131079455071817,5.7632314143241103e-08,True
c01_mhcflurry_additive_max200k_cold,val,precision,0.7797356843948364,0.7797356828193832,1.5754532123324338e-09,True
c01_mhcflurry_additive_max200k_cold,val,recall,0.7293956279754639,0.7293956043956044,2.357985950940389e-08,True
c01_mhcflurry_additive_max200k_cold,val,rmse_log10,1.0363390445709229,1.0363389998328116,4.473811121563642e-08,True
c01_mhcflurry_additive_max200k_cold,val,spearman,0.7198623418807983,0.7198677498917245,5.408010926188922e-06,True
c02_mhcflurry_additive_max200k_warm,test,accuracy,0.7130405902862549,0.7130405631914181,2.7094836818619683e-08,True
c02_mhcflurry_additive_max200k_warm,test,auprc,0.774712085723877,0.7747563189691229,4.42332452459393e-05,True
c02_mhcflurry_additive_max200k_warm,test,auroc,0.7952460646629333,0.7952455615766029,5.030863304833488e-07,True
c02_mhcflurry_additive_max200k_warm,test,balanced_accuracy,0.7113769948482513,0.711376990723749,4.1245022952551835e-09,True
c02_mhcflurry_additive_max200k_warm,test,f1,0.685756260630771,0.6857562408223201,1.9808450879565953e-08,True
c02_mhcflurry_additive_max200k_warm,test,pearson,0.5940711498260498,0.5940711585956624,8.769612591663645e-09,True
c02_mhcflurry_additive_max200k_warm,test,precision,0.7365930676460266,0.7365930599369085,7.709118121645986e-09,True
c02_mhcflurry_additive_max200k_warm,test,recall,0.6414835453033447,0.6414835164835165,2.881982819058493e-08,True
c02_mhcflurry_additive_max200k_warm,test,rmse_log10,1.1816442012786865,1.181644243542556,4.226386951522443e-08,True
c02_mhcflurry_additive_max200k_warm,test,spearman,0.5945457816123962,0.5945575172089943,1.1735596598061449e-05,True
c02_mhcflurry_additive_max200k_warm,val,accuracy,0.7283217906951904,0.7283217936036928,2.9085023278696553e-09,True
c02_mhcflurry_additive_max200k_warm,val,auprc,0.7704262137413025,0.7705120583848466,8.584464354410848e-05,True
c02_mhcflurry_additive_max200k_warm,val,auroc,0.7989601492881775,0.7989599374943384,2.1179383913327854e-07,True
c02_mhcflurry_additive_max200k_warm,val,balanced_accuracy,0.7264131605625153,0.7264131714829242,1.0920408910486401e-08,True
c02_mhcflurry_additive_max200k_warm,val,f1,0.7057142705917356,0.7057142857142857,1.5122550101054344e-08,True
c02_mhcflurry_additive_max200k_warm,val,pearson,0.6075345873832703,0.6075345361536861,5.122958413039669e-08,True
c02_mhcflurry_additive_max200k_warm,val,precision,0.7351190447807312,0.7351190476190477,2.838316470743507e-09,True
c02_mhcflurry_additive_max200k_warm,val,recall,0.6785714030265808,0.6785714285714286,2.5544847792602354e-08,True
c02_mhcflurry_additive_max200k_warm,val,rmse_log10,1.1737818717956543,1.1737817986539443,7.314171002192893e-08,True
c02_mhcflurry_additive_max200k_warm,val,spearman,0.6113702654838562,0.6113350297640583,3.523571979791029e-05,True
c03_log_mse_additive_max200k_cold,test,accuracy,0.7455581426620483,0.7455581629232316,2.0261183286685025e-08,True
c03_log_mse_additive_max200k_cold,test,auprc,0.8129768371582031,0.8130182094343859,4.137227618272732e-05,True
c03_log_mse_additive_max200k_cold,test,auroc,0.8298476338386536,0.8298475427650279,9.107362564098054e-08,True
c03_log_mse_additive_max200k_cold,test,balanced_accuracy,0.7434260249137878,0.7434260238778903,1.035897589929391e-09,True
c03_log_mse_additive_max200k_cold,test,f1,0.7149831024910851,0.7149831017649267,7.261583556683604e-10,True
c03_log_mse_additive_max200k_cold,test,pearson,0.6447062492370605,0.6447063414765913,9.223953079118274e-08,True
c03_log_mse_additive_max200k_cold,test,precision,0.7887324094772339,0.7887323943661971,1.5111036755222074e-08,True
c03_log_mse_additive_max200k_cold,test,recall,0.6538461446762085,0.6538461538461539,9.169945358600273e-09,True
c03_log_mse_additive_max200k_cold,test,rmse_log10,1.1371018886566162,1.1371018495660252,3.909059098639034e-08,True
c03_log_mse_additive_max200k_cold,test,spearman,0.6461833119392395,0.6461926338291984,9.32188995894645e-06,True
c03_log_mse_additive_max200k_cold,val,accuracy,0.7464556694030762,0.7464556544675239,1.4935552239414562e-08,True
c03_log_mse_additive_max200k_cold,val,auprc,0.7993994355201721,0.7994602192736981,6.078375352602805e-05,True
c03_log_mse_additive_max200k_cold,val,auroc,0.828250527381897,0.8282498850230303,6.423588666537583e-07,True
c03_log_mse_additive_max200k_cold,val,balanced_accuracy,0.7436405420303345,0.7436405541193113,1.2088976819590869e-08,True
c03_log_mse_additive_max200k_cold,val,f1,0.7182118103011323,0.7182117991938439,1.1107288422351758e-08,True
c03_log_mse_additive_max200k_cold,val,pearson,0.6524253487586975,0.652425274453142,7.430555548637585e-08,True
c03_log_mse_additive_max200k_cold,val,precision,0.7698350548744202,0.769835035349568,1.952485217948663e-08,True
c03_log_mse_additive_max200k_cold,val,recall,0.6730769276618958,0.6730769230769231,4.584972623788985e-09,True
c03_log_mse_additive_max200k_cold,val,rmse_log10,1.1295121908187866,1.129512152794054,3.802473269587381e-08,True
c03_log_mse_additive_max200k_cold,val,spearman,0.661807656288147,0.6617843918088059,2.326447934108966e-05,True
c04_log_mse_additive_max200k_warm,test,accuracy,0.7150519490242004,0.7150519611129735,1.208877309366585e-08,True
c04_log_mse_additive_max200k_warm,test,auprc,0.7750588059425354,0.7750941033204525,3.529737791707621e-05,True
c04_log_mse_additive_max200k_warm,test,auroc,0.7910315990447998,0.7910311283346647,4.7071013509203397e-07,True
c04_log_mse_additive_max200k_warm,test,balanced_accuracy,0.7127827703952789,0.7127827763264896,5.9312106337472414e-09,True
c04_log_mse_additive_max200k_warm,test,f1,0.6790030136556332,0.6790030211480362,7.492403031328365e-09,True
c04_log_mse_additive_max200k_warm,test,pearson,0.5842604041099548,0.5842604231040638,1.899410895234155e-08,True
c04_log_mse_additive_max200k_warm,test,precision,0.7541946172714233,0.7541946308724832,1.3601059833945328e-08,True
c04_log_mse_additive_max200k_warm,test,recall,0.6174450516700745,0.617445054945055,3.2749805090048767e-09,True
c04_log_mse_additive_max200k_warm,test,rmse_log10,1.2002179622650146,1.200217959340072,2.9249427324629096e-09,True
c04_log_mse_additive_max200k_warm,test,spearman,0.5864658355712891,0.5864778705730351,1.2035001746069085e-05,True
c04_log_mse_additive_max200k_warm,val,accuracy,0.7200791239738464,0.7200791295746786,5.600832131413824e-09,True
c04_log_mse_additive_max200k_warm,val,auprc,0.7685663104057312,0.7683023783054996,0.00026393210023156755,True
c04_log_mse_additive_max200k_warm,val,auroc,0.7933502197265625,0.7933504550300682,2.3530350568012892e-07,True
c04_log_mse_additive_max200k_warm,val,balanced_accuracy,0.7170111835002899,0.7170111910917237,7.591433814901904e-09,True
c04_log_mse_additive_max200k_warm,val,f1,0.6870622853426074,0.6870622926649466,7.322339179438586e-09,True
c04_log_mse_additive_max200k_warm,val,pearson,0.5970368981361389,0.5970368569729516,4.116318730318369e-08,True
c04_log_mse_additive_max200k_warm,val,precision,0.7414478659629822,0.741447891805887,2.584290481610907e-08,True
c04_log_mse_additive_max200k_warm,val,recall,0.6401098966598511,0.6401098901098901,6.549961018009753e-09,True
c04_log_mse_additive_max200k_warm,val,rmse_log10,1.1930012702941895,1.1930012601491535,1.0145035922448642e-08,True
c04_log_mse_additive_max200k_warm,val,spearman,0.602169930934906,0.6021359943116626,3.3936623243358e-05,True
