run_id,epoch,train_loss,val_loss,current_lr,gpu_peak_reserved_gib,gpu_util_mean_pct,gpu_mem_util_mean_pct
presto-mainpath-affinity-seqonly-e050-s42,1,0.10596123070649381,0.09899027599021792,0.001,7.857421875,35.92857142857143,6.857142857142857
presto-mainpath-affinity-seqonly-e050-s42,2,0.10380080890543056,0.10319009609520435,0.001,7.857421875,36.5,6.5
presto-mainpath-affinity-seqonly-e050-s42,3,0.10269970102411397,0.1112484778277576,0.001,7.857421875,40.61538461538461,7.923076923076923
presto-mainpath-affinity-seqonly-e050-s42,4,0.10480377401383419,0.09771578200161457,0.001,7.86328125,34.76923076923077,6.3076923076923075
presto-mainpath-affinity-seqonly-e050-s42,5,0.10377256635506198,0.10972763784229755,0.001,7.86328125,42.416666666666664,8.083333333333334
presto-mainpath-affinity-seqonly-e050-s42,6,0.10314422817725055,0.10091020772233605,0.001,7.86328125,40.5,7.583333333333333
presto-mainpath-affinity-seqonly-e050-s42,7,0.103424284747749,0.10053586401045322,0.001,7.86328125,36.333333333333336,6.833333333333333
presto-mainpath-affinity-seqonly-e050-s42,8,0.10268141705331937,0.10097456304356456,0.001,7.86328125,42.27272727272727,7.7272727272727275
presto-mainpath-affinity-seqonly-e050-s42,9,0.10190792768350188,0.08746363641694188,0.001,7.86328125,40.0,7.25
presto-mainpath-affinity-seqonly-e050-s42,10,0.10245066473506531,0.11128110997378826,0.001,7.86328125,40.083333333333336,7.083333333333333
presto-mainpath-affinity-seqonly-e050-s42,11,0.10431500956556707,0.10261624772101641,0.001,7.86328125,39.083333333333336,7.25
presto-mainpath-affinity-seqonly-e050-s42,12,0.10373482902376156,0.09867807757109404,0.001,7.86328125,41.666666666666664,7.5
presto-mainpath-affinity-seqonly-e050-s42,13,0.10394276418494729,0.10405575949698687,0.001,7.86328125,43.25,8.166666666666666
presto-mainpath-affinity-seqonly-e050-s42,14,0.1019866898445026,0.10197205981239676,0.001,7.86328125,36.46153846153846,6.769230769230769
presto-mainpath-affinity-seqonly-e050-s42,15,0.10297895887128587,0.10191724030300975,0.001,7.86328125,40.5,7.333333333333333
presto-mainpath-affinity-seqonly-e050-s42,16,0.10353485930640742,0.10587491793558002,0.001,7.86328125,36.30769230769231,6.846153846153846
presto-mainpath-affinity-seqonly-e050-s42,17,0.1034110073913943,0.10066573787480593,0.001,7.86328125,36.61538461538461,7.0
presto-mainpath-affinity-seqonly-e050-s42,18,0.10236693096329581,0.10259622195735574,0.001,7.86328125,39.916666666666664,7.416666666666667
presto-mainpath-affinity-seqonly-e050-s42,19,0.10343563156026714,0.10275985905900598,0.001,7.86328125,39.583333333333336,6.916666666666667
presto-mainpath-affinity-seqonly-e050-s42,20,0.10233419578311578,0.09977068332955241,0.001,7.86328125,40.083333333333336,7.5
presto-mainpath-affinity-seqonly-e050-s42,21,0.10215546492979212,0.11647760262712836,0.001,7.86328125,38.0,7.083333333333333
presto-mainpath-affinity-seqonly-e050-s42,22,0.1042388619960479,0.10171203082427382,0.001,7.86328125,37.5,6.75
presto-mainpath-affinity-seqonly-e050-s42,23,0.10287168045651238,0.10285916505381465,0.001,7.86328125,43.54545454545455,7.818181818181818
presto-mainpath-affinity-seqonly-e050-s42,24,0.10267737205579595,0.10703449184074998,0.001,7.86328125,40.166666666666664,7.75
presto-mainpath-affinity-seqonly-e050-s42,25,0.10283967093476709,0.10143119841814041,0.001,7.86328125,44.333333333333336,8.083333333333334
presto-mainpath-affinity-seqonly-e050-s42,26,0.10388592314326538,0.10410946886986494,0.001,7.86328125,44.90909090909091,8.272727272727273
presto-mainpath-affinity-seqonly-e050-s42,27,0.10236156802132444,0.10284678963944316,0.001,7.86328125,36.53846153846154,6.846153846153846
presto-mainpath-affinity-seqonly-e050-s42,28,0.10331914482532807,0.10353398649021983,0.001,7.86328125,38.916666666666664,6.833333333333333
presto-mainpath-affinity-seqonly-e050-s42,29,0.10246675510732632,0.10255641024559736,0.001,7.86328125,38.15384615384615,6.846153846153846
presto-mainpath-affinity-seqonly-e050-s42,30,0.10265057751873755,0.10161538608372211,0.001,7.86328125,42.916666666666664,7.916666666666667
presto-mainpath-affinity-seqonly-e050-s42,31,0.10496672952793679,0.1003590552136302,0.001,7.86328125,40.30769230769231,7.538461538461538
presto-mainpath-affinity-seqonly-e050-s42,32,0.10309621684674947,0.10180815635249019,0.001,7.86328125,38.92307692307692,7.538461538461538
presto-mainpath-affinity-seqonly-e050-s42,33,0.10278719459783356,0.10285602789372206,0.001,7.86328125,40.81818181818182,7.454545454545454
presto-mainpath-affinity-seqonly-e050-s42,34,0.10420272682072981,0.1039332551881671,0.001,7.86328125,41.583333333333336,7.833333333333333
presto-mainpath-affinity-seqonly-e050-s42,35,0.10305367494529148,0.10191985638812184,0.001,7.86328125,42.083333333333336,7.833333333333333
presto-mainpath-affinity-seqonly-e050-s42,36,0.10394620719664502,0.10467298189178109,0.001,7.86328125,40.75,7.416666666666667
presto-mainpath-affinity-seqonly-e050-s42,37,0.10270794628644889,0.10188705567270517,0.001,7.86328125,39.083333333333336,7.166666666666667
