split,endpoint,column,observations,training_rows,source_rows,unique_observations,traceable_observations,untraceable_rows,distinct_peptides,positive,negative,graded,exact,left_censored,right_censored,instances,unique_positive,unique_negative,unique_exact
train,assays.KD_nM,,189500,189500,0,189500,0,189500,39745,0,0,0,142456,0,47044,189500,0,0,142456
train,assays.IC50_nM,,55423,55423,0,55423,0,55423,13607,0,0,0,49414,0,6009,55423,0,0,49414
train,assays.EC50_nM,,1332,1332,0,1332,0,1332,833,0,0,0,1252,0,80,1332,0,0,1252
train,elution_logit,,1214984,1214984,0,1214984,0,1214984,519677,1199680,15304,0,0,0,0,1760301,1199680,15304,0
train,presentation_logit,,1214984,1214984,0,1214984,0,1214984,519677,1199680,15304,0,0,0,0,1760301,1199680,15304,0
train,tcell_logit,,118222,118222,0,118222,0,118222,47097,58082,60140,0,0,0,0,118222,58082,60140,0
train,immunogenicity_logit,,118222,118222,0,118222,0,118222,47097,58082,60140,0,0,0,0,118222,58082,60140,0
train,tcell_panel_logits.assay_method,,118222,118222,0,118222,0,118222,47097,58082,60140,0,0,0,0,118222,58082,60140,0
train,tcell_panel_logits.assay_method,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.assay_method,ELISPOT,53387,53387,0,53387,0,53387,25815,15573,37814,0,0,0,0,53387,15573,37814,0
train,tcell_panel_logits.assay_method,ICS,11929,11929,0,11929,0,11929,4677,8506,3423,0,0,0,0,11929,8506,3423,0
train,tcell_panel_logits.assay_method,MULTIMER,21097,21097,0,21097,0,21097,11935,12158,8939,0,0,0,0,21097,12158,8939,0
train,tcell_panel_logits.assay_method,ELISA,6839,6839,0,6839,0,6839,3657,4483,2356,0,0,0,0,6839,4483,2356,0
train,tcell_panel_logits.assay_method,CYTOTOXICITY_ASSAY,7649,7649,0,7649,0,7649,3916,5801,1848,0,0,0,0,7649,5801,1848,0
train,tcell_panel_logits.assay_method,PROLIFERATION_ASSAY,4451,4451,0,4451,0,4451,2924,3166,1285,0,0,0,0,4451,3166,1285,0
train,tcell_panel_logits.assay_method,IN_VITRO_ASSAY,14,14,0,14,0,14,11,13,1,0,0,0,0,14,13,1,0
train,tcell_panel_logits.assay_method,IN_VIVO_ASSAY,1169,1169,0,1169,0,1169,721,860,309,0,0,0,0,1169,860,309,0
train,tcell_panel_logits.assay_method,BIOASSAY,5520,5520,0,5520,0,5520,3848,3465,2055,0,0,0,0,5520,3465,2055,0
train,tcell_panel_logits.assay_method,OTHER,6167,6167,0,6167,0,6167,1830,4057,2110,0,0,0,0,6167,4057,2110,0
train,tcell_panel_logits.assay_readout,,118222,118222,0,118222,0,118222,47097,58082,60140,0,0,0,0,118222,58082,60140,0
train,tcell_panel_logits.assay_readout,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.assay_readout,IFNG,66450,66450,0,66450,0,66450,31837,24064,42386,0,0,0,0,66450,24064,42386,0
train,tcell_panel_logits.assay_readout,TNFA,2613,2613,0,2613,0,2613,1670,1943,670,0,0,0,0,2613,1943,670,0
train,tcell_panel_logits.assay_readout,IL2,2531,2531,0,2531,0,2531,1555,1837,694,0,0,0,0,2531,1837,694,0
train,tcell_panel_logits.assay_readout,IL4,625,625,0,625,0,625,442,373,252,0,0,0,0,625,373,252,0
train,tcell_panel_logits.assay_readout,IL5,363,363,0,363,0,363,241,309,54,0,0,0,0,363,309,54,0
