split,endpoint,column,observations,training_rows,source_rows,unique_observations,traceable_observations,untraceable_rows,distinct_peptides,positive,negative,graded,exact,left_censored,right_censored,instances,unique_positive,unique_negative,unique_exact
train,tcell_panel_logits.assay_readout,IL10,509,509,0,509,0,509,356,342,167,0,0,0,0,509,342,167,0
train,tcell_panel_logits.assay_readout,GMCSF,162,162,0,162,0,162,118,145,17,0,0,0,0,162,145,17,0
train,tcell_panel_logits.assay_readout,CYTOTOXICITY,7649,7649,0,7649,0,7649,3916,5801,1848,0,0,0,0,7649,5801,1848,0
train,tcell_panel_logits.assay_readout,PROLIFERATION,4451,4451,0,4451,0,4451,2924,3166,1285,0,0,0,0,4451,3166,1285,0
train,tcell_panel_logits.assay_readout,ACTIVATION,5147,5147,0,5147,0,5147,3599,3121,2026,0,0,0,0,5147,3121,2026,0
train,tcell_panel_logits.assay_readout,QUAL_BINDING,1919,1919,0,1919,0,1919,580,1095,824,0,0,0,0,1919,1095,824,0
train,tcell_panel_logits.assay_readout,KD,677,677,0,677,0,677,469,640,37,0,0,0,0,677,640,37,0
train,tcell_panel_logits.assay_readout,MULTIMER_BINDING,21097,21097,0,21097,0,21097,11935,12158,8939,0,0,0,0,21097,12158,8939,0
train,tcell_panel_logits.assay_readout,OTHER,4029,4029,0,4029,0,4029,1974,3088,941,0,0,0,0,4029,3088,941,0
train,tcell_panel_logits.apc_type,,92367,92367,0,92367,0,92367,38202,41781,50586,0,0,0,0,92367,41781,50586,0
train,tcell_panel_logits.apc_type,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.apc_type,DENDRITIC,3295,3295,0,3295,0,3295,2241,1673,1622,0,0,0,0,3295,1673,1622,0
train,tcell_panel_logits.apc_type,B_CELL,9079,9079,0,9079,0,9079,6042,4962,4117,0,0,0,0,9079,4962,4117,0
train,tcell_panel_logits.apc_type,PBMC,45283,45283,0,45283,0,45283,18579,18006,27277,0,0,0,0,45283,18006,27277,0
train,tcell_panel_logits.apc_type,SPLENOCYTE,16333,16333,0,16333,0,16333,9136,6077,10256,0,0,0,0,16333,6077,10256,0
train,tcell_panel_logits.apc_type,T2_B_CELL,3692,3692,0,3692,0,3692,1969,2669,1023,0,0,0,0,3692,2669,1023,0
train,tcell_panel_logits.apc_type,B_LCL,906,906,0,906,0,906,457,649,257,0,0,0,0,906,649,257,0
train,tcell_panel_logits.apc_type,T_CELL,5489,5489,0,5489,0,5489,3992,2305,3184,0,0,0,0,5489,2305,3184,0
train,tcell_panel_logits.apc_type,OTHER,8290,8290,0,8290,0,8290,3990,5440,2850,0,0,0,0,8290,5440,2850,0
train,tcell_panel_logits.culture_context,,115453,115453,0,115453,0,115453,46715,55710,59743,0,0,0,0,115453,55710,59743,0
train,tcell_panel_logits.culture_context,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.culture_context,DIRECT_EX_VIVO,89103,89103,0,89103,0,89103,39728,36612,52491,0,0,0,0,89103,36612,52491,0
train,tcell_panel_logits.culture_context,SHORT_RESTIM,15107,15107,0,15107,0,15107,6987,9052,6055,0,0,0,0,15107,9052,6055,0
train,tcell_panel_logits.culture_context,IN_VITRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.culture_context,IN_VIVO,186,186,0,186,0,186,112,173,13,0,0,0,0,186,173,13,0
train,tcell_panel_logits.culture_context,ENGINEERED,2537,2537,0,2537,0,2537,820,2397,140,0,0,0,0,2537,2397,140,0
train,tcell_panel_logits.culture_context,CELL_LINE_CLONE,8474,8474,0,8474,0,8474,3747,7442,1032,0,0,0,0,8474,7442,1032,0
train,tcell_panel_logits.culture_context,NON_SPECIFIC_ACTIVATION,34,34,0,34,0,34,30,23,11,0,0,0,0,34,23,11,0
train,tcell_panel_logits.culture_context,OTHER,12,12,0,12,0,12,7,11,1,0,0,0,0,12,11,1,0
train,tcell_panel_logits.stim_context,,118222,118222,0,118222,0,118222,47097,58082,60140,0,0,0,0,118222,58082,60140,0
train,tcell_panel_logits.stim_context,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.stim_context,EX_VIVO,89103,89103,0,89103,0,89103,39728,36612,52491,0,0,0,0,89103,36612,52491,0
train,tcell_panel_logits.stim_context,IN_VITRO_STIM,23403,23403,0,23403,0,23403,9870,16396,7007,0,0,0,0,23403,16396,7007,0
train,tcell_panel_logits.stim_context,IN_VIVO,201,201,0,201,0,201,117,188,13,0,0,0,0,201,188,13,0
train,tcell_panel_logits.stim_context,ENGINEERED,2608,2608,0,2608,0,2608,844,2464,144,0,0,0,0,2608,2464,144,0
train,tcell_panel_logits.stim_context,OTHER,2907,2907,0,2907,0,2907,1303,2422,485,0,0,0,0,2907,2422,485,0
train,tcell_panel_logits.peptide_format,,118222,118222,0,118222,0,118222,47097,58082,60140,0,0,0,0,118222,58082,60140,0
train,tcell_panel_logits.peptide_format,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.peptide_format,MINIMAL_EPITOPE,101754,101754,0,101754,0,101754,41385,50020,51734,0,0,0,0,101754,50020,51734,0
train,tcell_panel_logits.peptide_format,LONG_PEPTIDE,16468,16468,0,16468,0,16468,5712,8062,8406,0,0,0,0,16468,8062,8406,0
train,tcell_panel_logits.peptide_format,PEPTIDE_POOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.peptide_format,WHOLE_PROTEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcell_panel_logits.peptide_format,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,assays.kon,,18,18,0,18,0,18,16,0,0,0,18,0,0,18,0,0,18
train,assays.koff,,42,42,0,42,0,42,34,0,0,0,42,0,0,42,0,0,42
train,assays.t_half,,8763,8763,0,8763,0,8763,5720,0,0,0,8666,0,97,8763,0,0,8666
train,assays.Tm,,831,831,0,831,0,831,668,0,0,0,801,0,30,831,0,0,801
train,binding_affinity_probe_kd,,189500,189500,0,189500,0,189500,39745,0,0,0,142456,0,47044,189500,0,0,142456
train,ms_detectability_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,processing_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_start_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_class_logits,,1665530,1665530,0,1665530,0,1665530,596516,0,0,0,0,0,0,1665530,0,0,0
train,mhc_class_logits,I,1665530,1665530,0,1665530,0,1665530,596516,1312757,352773,0,0,0,0,1665530,1312757,352773,0
train,mhc_class_logits,II,1665530,1665530,0,1665530,0,1665530,596516,352773,1312757,0,0,0,0,1665530,352773,1312757,0
train,mhc_species_logits,,1665530,1665530,0,1665530,0,1665530,596516,0,0,0,0,0,0,1665530,0,0,0
train,mhc_species_logits,human,1665530,1665530,0,1665530,0,1665530,596516,1453452,212078,0,0,0,0,1665530,1453452,212078,0
train,mhc_species_logits,nhp,1665530,1665530,0,1665530,0,1665530,596516,5971,1659559,0,0,0,0,1665530,5971,1659559,0
train,mhc_species_logits,murine,1665530,1665530,0,1665530,0,1665530,596516,203069,1462461,0,0,0,0,1665530,203069,1462461,0
train,mhc_species_logits,other_mammal,1665530,1665530,0,1665530,0,1665530,596516,1938,1663592,0,0,0,0,1665530,1938,1663592,0
train,mhc_species_logits,bird,1665530,1665530,0,1665530,0,1665530,596516,1100,1664430,0,0,0,0,1665530,1100,1664430,0
train,mhc_species_logits,other_vertebrate,1665530,1665530,0,1665530,0,1665530,596516,0,1665530,0,0,0,0,1665530,0,1665530,0
train,mhc_a_type_logits,,1665530,1665530,0,1665530,0,1665530,596516,0,0,0,0,0,0,1665530,0,0,0
train,mhc_a_type_logits,MHC_I,1665530,1665530,0,1665530,0,1665530,596516,1312757,352773,0,0,0,0,1665530,1312757,352773,0
train,mhc_a_type_logits,MHC_IIa,1665530,1665530,0,1665530,0,1665530,596516,195844,1469686,0,0,0,0,1665530,195844,1469686,0
train,mhc_a_type_logits,MHC_IIb,1665530,1665530,0,1665530,0,1665530,596516,156929,1508601,0,0,0,0,1665530,156929,1508601,0
train,mhc_a_type_logits,B2M,1665530,1665530,0,1665530,0,1665530,596516,0,1665530,0,0,0,0,1665530,0,1665530,0
train,mhc_a_type_logits,unknown,1665530,1665530,0,1665530,0,1665530,596516,0,1665530,0,0,0,0,1665530,0,1665530,0
train,mhc_b_type_logits,,1665530,1665530,0,1665530,0,1665530,596516,0,0,0,0,0,0,1665530,0,0,0
train,mhc_b_type_logits,MHC_I,1665530,1665530,0,1665530,0,1665530,596516,1312757,352773,0,0,0,0,1665530,1312757,352773,0
train,mhc_b_type_logits,MHC_IIa,1665530,1665530,0,1665530,0,1665530,596516,0,1665530,0,0,0,0,1665530,0,1665530,0
train,mhc_b_type_logits,MHC_IIb,1665530,1665530,0,1665530,0,1665530,596516,352773,1312757,0,0,0,0,1665530,352773,1312757,0
train,mhc_b_type_logits,B2M,1665530,1665530,0,1665530,0,1665530,596516,0,1665530,0,0,0,0,1665530,0,1665530,0
train,mhc_b_type_logits,unknown,1665530,1665530,0,1665530,0,1665530,596516,0,1665530,0,0,0,0,1665530,0,1665530,0
train,tcr_evidence_logit,,133170,133170,0,133170,0,133170,1538,133170,0,0,0,0,0,133170,133170,0,0
train,tcr_evidence_method_logits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcr_evidence_method_logits,multimer_binding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcr_evidence_method_logits,target_cell_functional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,tcr_evidence_method_logits,functional_readout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,species_of_origin_logits,,1509503,1509503,0,1509503,0,1509503,546523,0,0,0,0,0,0,1509503,0,0,0
train,species_of_origin_logits,human,1509503,1509503,0,1509503,0,1509503,546523,1071490,438013,0,0,0,0,1509503,1071490,438013,0
train,species_of_origin_logits,nhp,1509503,1509503,0,1509503,0,1509503,546523,447,1509056,0,0,0,0,1509503,447,1509056,0
train,species_of_origin_logits,murine,1509503,1509503,0,1509503,0,1509503,546523,141246,1368257,0,0,0,0,1509503,141246,1368257,0
train,species_of_origin_logits,other_mammal,1509503,1509503,0,1509503,0,1509503,546523,4803,1504700,0,0,0,0,1509503,4803,1504700,0
train,species_of_origin_logits,bird,1509503,1509503,0,1509503,0,1509503,546523,2633,1506870,0,0,0,0,1509503,2633,1506870,0
train,species_of_origin_logits,other_vertebrate,1509503,1509503,0,1509503,0,1509503,546523,54,1509449,0,0,0,0,1509503,54,1509449,0
train,species_of_origin_logits,invertebrate,1509503,1509503,0,1509503,0,1509503,546523,6923,1502580,0,0,0,0,1509503,6923,1502580,0
train,species_of_origin_logits,fungi,1509503,1509503,0,1509503,0,1509503,546523,607,1508896,0,0,0,0,1509503,607,1508896,0
train,species_of_origin_logits,bacteria,1509503,1509503,0,1509503,0,1509503,546523,23891,1485612,0,0,0,0,1509503,23891,1485612,0
train,species_of_origin_logits,viruses,1509503,1509503,0,1509503,0,1509503,546523,257409,1252094,0,0,0,0,1509503,257409,1252094,0
train,species_of_origin_logits,archaea,1509503,1509503,0,1509503,0,1509503,546523,0,1509503,0,0,0,0,1509503,0,1509503,0
train,foreignness_logit,,1509503,1509503,0,1509503,0,1509503,546523,281907,1227596,0,0,0,0,1509503,281907,1227596,0
train,binding_assay_panel_assay_type,,189500,189500,0,189500,0,189500,39745,0,0,0,142456,0,47044,189500,0,0,142456
train,binding_assay_panel_assay_type,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_type,KD,16921,16921,0,16921,0,16921,3053,0,0,0,5779,0,11142,16921,0,0,5779
train,binding_assay_panel_assay_type,KD_PROXY_IC50,70038,70038,0,70038,0,70038,25113,0,0,0,65111,0,4927,70038,0,0,65111
train,binding_assay_panel_assay_type,KD_PROXY_EC50,45786,45786,0,45786,0,45786,4695,0,0,0,20900,0,24886,45786,0,0,20900
train,binding_assay_panel_assay_type,IC50,55423,55423,0,55423,0,55423,13607,0,0,0,49414,0,6009,55423,0,0,49414
train,binding_assay_panel_assay_type,EC50,1332,1332,0,1332,0,1332,833,0,0,0,1252,0,80,1332,0,0,1252
train,binding_assay_panel_assay_type,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_type,T_HALF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_type,TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_type,KOFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_type,KON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_prep,,189500,189500,0,189500,0,189500,39745,0,0,0,142456,0,47044,189500,0,0,142456
train,binding_assay_panel_assay_prep,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_prep,PURIFIED,182504,182504,0,182504,0,182504,38642,0,0,0,137089,0,45415,182504,0,0,137089
train,binding_assay_panel_assay_prep,CELLULAR,6792,6792,0,6792,0,6792,3370,0,0,0,5213,0,1579,6792,0,0,5213
train,binding_assay_panel_assay_prep,LYSATE,11,11,0,11,0,11,10,0,0,0,11,0,0,11,0,0,11
train,binding_assay_panel_assay_prep,BINDING_ASSAY,193,193,0,193,0,193,30,0,0,0,143,0,50,193,0,0,143
train,binding_assay_panel_assay_prep,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_geometry,,189500,189500,0,189500,0,189500,39745,0,0,0,142456,0,47044,189500,0,0,142456
train,binding_assay_panel_assay_geometry,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_geometry,COMPETITIVE,142168,142168,0,142168,0,142168,36213,0,0,0,120146,0,22022,142168,0,0,120146
train,binding_assay_panel_assay_geometry,DIRECT,47123,47123,0,47123,0,47123,5470,0,0,0,22157,0,24966,47123,0,0,22157
train,binding_assay_panel_assay_geometry,T_CELL_INHIBITION,16,16,0,16,0,16,16,0,0,0,10,0,6,16,0,0,10
train,binding_assay_panel_assay_geometry,OTHER,193,193,0,193,0,193,30,0,0,0,143,0,50,193,0,0,143
train,binding_assay_panel_assay_readout,,189500,189500,0,189500,0,189500,39745,0,0,0,142456,0,47044,189500,0,0,142456
train,binding_assay_panel_assay_readout,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_panel_assay_readout,RADIOACTIVITY,111373,111373,0,111373,0,111373,29145,0,0,0,103507,0,7866,111373,0,0,103507
train,binding_assay_panel_assay_readout,FLUORESCENCE,77918,77918,0,77918,0,77918,13417,0,0,0,38796,0,39122,77918,0,0,38796
train,binding_assay_panel_assay_readout,OTHER,209,209,0,209,0,209,46,0,0,0,153,0,56,209,0,0,153
train,excision_panel_apm,,1214984,1214984,0,1214984,0,1214984,519677,1199680,15304,0,0,0,0,1214984,1199680,15304,0
train,excision_panel_apm,none,1214984,1214984,0,1214984,0,1214984,519677,1199680,15304,0,0,0,0,1214984,1199680,15304,0
train,excision_panel_apm,peptide_supply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_apm,n_term_trimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_apm,loading_complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_apm,mhc_null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_apm,class_ii_loading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_apm,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_apm,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_stimulus,,1214984,1214984,0,1214984,0,1214984,519677,1199680,15304,0,0,0,0,1214984,1199680,15304,0
train,excision_panel_stimulus,none,1214984,1214984,0,1214984,0,1214984,519677,1199680,15304,0,0,0,0,1214984,1199680,15304,0
train,excision_panel_stimulus,ifn_gamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_stimulus,ifn_type1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_stimulus,tnf_alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_stimulus,tlr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_stimulus,cell_activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_panel_stimulus,cytokine_unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_base_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_class1_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_class2_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,processing_class1_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,processing_class2_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,presentation_class1_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,presentation_class2_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,recognition_cd8_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,recognition_cd4_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,recognition_repertoire_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,immunogenicity_cd8_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,immunogenicity_cd4_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,chain_compat_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_start_prob,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,pep_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_a_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_b_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,groove_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,apc_cell_type_context_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,pmhc_interaction_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_a_species_logits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_b_species_logits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_class_probs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_species_probs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,species_probs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_is_class1_prob,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,mhc_is_class2_prob,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_direct_segment_mode,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_direct_segment_gate_mean,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_direct_affinity_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_direct_stability_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_assay_context_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_affinity_score_raw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_stability_score_raw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_stability_score,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_sequence_summary_vec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_kinetic_input_mode,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_logit_from_core,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_kd_bias_raw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_kd_bias,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_kd_bias_cap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_probe_mix_weight,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_core_kd_log10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_mixed_kd_log10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_window_mask,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_window_start,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_window_length,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_window_prior_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_window_score_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_window_logit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_window_posterior_prob,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_membership_prob,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_relative_position_index,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_length,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,npfr_length,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,cpfr_length,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,core_length_norm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,npfr_length_norm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,cpfr_length_norm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_mhc_attention_effective_residues,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_mhc_attention_mass,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_mhc_attention_valid_mask,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_mhc_attention_token_count,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_n_terminus_score,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_c_terminus_score,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_length_score,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_missed_cleavage_score,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,excision_machinery_idx,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,presentation_invivo_excision_term,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,immunogenicity_recognition_term,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,latent_vecs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,binding_latents,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,attn_layers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
val,assays.KD_nM,,23708,23708,0,23708,0,23708,5049,0,0,0,17787,0,5921,23708,0,0,17787
val,assays.IC50_nM,,6978,6978,0,6978,0,6978,1736,0,0,0,6204,0,774,6978,0,0,6204
