split,target,column,count,positive,negative,graded,instances,unknown_selector,alias_of
train,tcell_peptide_format_mil,unknown,0,0,0,0,,,
train,tcell_peptide_format_mil,MINIMAL_EPITOPE,0,0,0,0,,,
train,tcell_peptide_format_mil,LONG_PEPTIDE,0,0,0,0,,,
train,tcell_peptide_format_mil,PEPTIDE_POOL,0,0,0,0,,,
train,tcell_peptide_format_mil,WHOLE_PROTEIN,0,0,0,0,,,
train,tcell_peptide_format_mil,OTHER,0,0,0,0,,,
val,elution,*,157537,155564,1973,0,228838,0,
val,presentation,*,157537,155564,1973,0,228838,0,
val,ms,*,157537,155564,1973,0,228838,0,elution
val,tcell_mil,*,0,0,0,0,0,0,
val,immunogenicity_mil,*,0,0,0,0,0,0,
val,tcell_assay_method_mil,*,0,0,0,0,0,0,
val,tcell_assay_method_mil,unknown,0,0,0,0,,,
val,tcell_assay_method_mil,ELISPOT,0,0,0,0,,,
val,tcell_assay_method_mil,ICS,0,0,0,0,,,
val,tcell_assay_method_mil,MULTIMER,0,0,0,0,,,
val,tcell_assay_method_mil,ELISA,0,0,0,0,,,
val,tcell_assay_method_mil,CYTOTOXICITY_ASSAY,0,0,0,0,,,
val,tcell_assay_method_mil,PROLIFERATION_ASSAY,0,0,0,0,,,
val,tcell_assay_method_mil,IN_VITRO_ASSAY,0,0,0,0,,,
val,tcell_assay_method_mil,IN_VIVO_ASSAY,0,0,0,0,,,
val,tcell_assay_method_mil,BIOASSAY,0,0,0,0,,,
val,tcell_assay_method_mil,OTHER,0,0,0,0,,,
val,tcell_assay_readout_mil,*,0,0,0,0,0,0,
val,tcell_assay_readout_mil,unknown,0,0,0,0,,,
val,tcell_assay_readout_mil,IFNG,0,0,0,0,,,
val,tcell_assay_readout_mil,TNFA,0,0,0,0,,,
val,tcell_assay_readout_mil,IL2,0,0,0,0,,,
val,tcell_assay_readout_mil,IL4,0,0,0,0,,,
val,tcell_assay_readout_mil,IL5,0,0,0,0,,,
val,tcell_assay_readout_mil,IL10,0,0,0,0,,,
val,tcell_assay_readout_mil,GMCSF,0,0,0,0,,,
val,tcell_assay_readout_mil,CYTOTOXICITY,0,0,0,0,,,
val,tcell_assay_readout_mil,PROLIFERATION,0,0,0,0,,,
val,tcell_assay_readout_mil,ACTIVATION,0,0,0,0,,,
val,tcell_assay_readout_mil,QUAL_BINDING,0,0,0,0,,,
val,tcell_assay_readout_mil,KD,0,0,0,0,,,
val,tcell_assay_readout_mil,MULTIMER_BINDING,0,0,0,0,,,
val,tcell_assay_readout_mil,OTHER,0,0,0,0,,,
val,tcell_apc_type_mil,*,0,0,0,0,0,0,
val,tcell_apc_type_mil,unknown,0,0,0,0,,,
val,tcell_apc_type_mil,DENDRITIC,0,0,0,0,,,
val,tcell_apc_type_mil,B_CELL,0,0,0,0,,,
val,tcell_apc_type_mil,PBMC,0,0,0,0,,,
val,tcell_apc_type_mil,SPLENOCYTE,0,0,0,0,,,
val,tcell_apc_type_mil,T2_B_CELL,0,0,0,0,,,
val,tcell_apc_type_mil,B_LCL,0,0,0,0,,,
val,tcell_apc_type_mil,T_CELL,0,0,0,0,,,
val,tcell_apc_type_mil,OTHER,0,0,0,0,,,
val,tcell_culture_context_mil,*,0,0,0,0,0,0,
val,tcell_culture_context_mil,unknown,0,0,0,0,,,
val,tcell_culture_context_mil,DIRECT_EX_VIVO,0,0,0,0,,,
val,tcell_culture_context_mil,SHORT_RESTIM,0,0,0,0,,,
val,tcell_culture_context_mil,IN_VITRO,0,0,0,0,,,
val,tcell_culture_context_mil,IN_VIVO,0,0,0,0,,,
val,tcell_culture_context_mil,ENGINEERED,0,0,0,0,,,
val,tcell_culture_context_mil,CELL_LINE_CLONE,0,0,0,0,,,
val,tcell_culture_context_mil,NON_SPECIFIC_ACTIVATION,0,0,0,0,,,
val,tcell_culture_context_mil,OTHER,0,0,0,0,,,
val,tcell_stim_context_mil,*,0,0,0,0,0,0,
val,tcell_stim_context_mil,unknown,0,0,0,0,,,
val,tcell_stim_context_mil,EX_VIVO,0,0,0,0,,,
val,tcell_stim_context_mil,IN_VITRO_STIM,0,0,0,0,,,
val,tcell_stim_context_mil,IN_VIVO,0,0,0,0,,,
val,tcell_stim_context_mil,ENGINEERED,0,0,0,0,,,
val,tcell_stim_context_mil,OTHER,0,0,0,0,,,
val,tcell_peptide_format_mil,*,0,0,0,0,0,0,
val,tcell_peptide_format_mil,unknown,0,0,0,0,,,
val,tcell_peptide_format_mil,MINIMAL_EPITOPE,0,0,0,0,,,
val,tcell_peptide_format_mil,LONG_PEPTIDE,0,0,0,0,,,
val,tcell_peptide_format_mil,PEPTIDE_POOL,0,0,0,0,,,
val,tcell_peptide_format_mil,WHOLE_PROTEIN,0,0,0,0,,,
val,tcell_peptide_format_mil,OTHER,0,0,0,0,,,
test,elution,*,151040,149144,1896,0,219323,0,
test,presentation,*,151040,149144,1896,0,219323,0,
test,ms,*,151040,149144,1896,0,219323,0,elution
test,tcell_mil,*,0,0,0,0,0,0,
test,immunogenicity_mil,*,0,0,0,0,0,0,
test,tcell_assay_method_mil,*,0,0,0,0,0,0,
test,tcell_assay_method_mil,unknown,0,0,0,0,,,
test,tcell_assay_method_mil,ELISPOT,0,0,0,0,,,
test,tcell_assay_method_mil,ICS,0,0,0,0,,,
test,tcell_assay_method_mil,MULTIMER,0,0,0,0,,,
test,tcell_assay_method_mil,ELISA,0,0,0,0,,,
test,tcell_assay_method_mil,CYTOTOXICITY_ASSAY,0,0,0,0,,,
test,tcell_assay_method_mil,PROLIFERATION_ASSAY,0,0,0,0,,,
test,tcell_assay_method_mil,IN_VITRO_ASSAY,0,0,0,0,,,
test,tcell_assay_method_mil,IN_VIVO_ASSAY,0,0,0,0,,,
test,tcell_assay_method_mil,BIOASSAY,0,0,0,0,,,
test,tcell_assay_method_mil,OTHER,0,0,0,0,,,
test,tcell_assay_readout_mil,*,0,0,0,0,0,0,
test,tcell_assay_readout_mil,unknown,0,0,0,0,,,
test,tcell_assay_readout_mil,IFNG,0,0,0,0,,,
test,tcell_assay_readout_mil,TNFA,0,0,0,0,,,
test,tcell_assay_readout_mil,IL2,0,0,0,0,,,
test,tcell_assay_readout_mil,IL4,0,0,0,0,,,
test,tcell_assay_readout_mil,IL5,0,0,0,0,,,
test,tcell_assay_readout_mil,IL10,0,0,0,0,,,
test,tcell_assay_readout_mil,GMCSF,0,0,0,0,,,
test,tcell_assay_readout_mil,CYTOTOXICITY,0,0,0,0,,,
test,tcell_assay_readout_mil,PROLIFERATION,0,0,0,0,,,
test,tcell_assay_readout_mil,ACTIVATION,0,0,0,0,,,
test,tcell_assay_readout_mil,QUAL_BINDING,0,0,0,0,,,
test,tcell_assay_readout_mil,KD,0,0,0,0,,,
test,tcell_assay_readout_mil,MULTIMER_BINDING,0,0,0,0,,,
test,tcell_assay_readout_mil,OTHER,0,0,0,0,,,
test,tcell_apc_type_mil,*,0,0,0,0,0,0,
test,tcell_apc_type_mil,unknown,0,0,0,0,,,
test,tcell_apc_type_mil,DENDRITIC,0,0,0,0,,,
test,tcell_apc_type_mil,B_CELL,0,0,0,0,,,
test,tcell_apc_type_mil,PBMC,0,0,0,0,,,
test,tcell_apc_type_mil,SPLENOCYTE,0,0,0,0,,,
test,tcell_apc_type_mil,T2_B_CELL,0,0,0,0,,,
test,tcell_apc_type_mil,B_LCL,0,0,0,0,,,
test,tcell_apc_type_mil,T_CELL,0,0,0,0,,,
test,tcell_apc_type_mil,OTHER,0,0,0,0,,,
test,tcell_culture_context_mil,*,0,0,0,0,0,0,
test,tcell_culture_context_mil,unknown,0,0,0,0,,,
test,tcell_culture_context_mil,DIRECT_EX_VIVO,0,0,0,0,,,
test,tcell_culture_context_mil,SHORT_RESTIM,0,0,0,0,,,
test,tcell_culture_context_mil,IN_VITRO,0,0,0,0,,,
test,tcell_culture_context_mil,IN_VIVO,0,0,0,0,,,
test,tcell_culture_context_mil,ENGINEERED,0,0,0,0,,,
test,tcell_culture_context_mil,CELL_LINE_CLONE,0,0,0,0,,,
test,tcell_culture_context_mil,NON_SPECIFIC_ACTIVATION,0,0,0,0,,,
test,tcell_culture_context_mil,OTHER,0,0,0,0,,,
test,tcell_stim_context_mil,*,0,0,0,0,0,0,
test,tcell_stim_context_mil,unknown,0,0,0,0,,,
test,tcell_stim_context_mil,EX_VIVO,0,0,0,0,,,
test,tcell_stim_context_mil,IN_VITRO_STIM,0,0,0,0,,,
test,tcell_stim_context_mil,IN_VIVO,0,0,0,0,,,
test,tcell_stim_context_mil,ENGINEERED,0,0,0,0,,,
test,tcell_stim_context_mil,OTHER,0,0,0,0,,,
test,tcell_peptide_format_mil,*,0,0,0,0,0,0,
test,tcell_peptide_format_mil,unknown,0,0,0,0,,,
test,tcell_peptide_format_mil,MINIMAL_EPITOPE,0,0,0,0,,,
test,tcell_peptide_format_mil,LONG_PEPTIDE,0,0,0,0,,,
test,tcell_peptide_format_mil,PEPTIDE_POOL,0,0,0,0,,,
test,tcell_peptide_format_mil,WHOLE_PROTEIN,0,0,0,0,,,
test,tcell_peptide_format_mil,OTHER,0,0,0,0,,,
