epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib
1,0.06889649205546076,0.07692800966255806,46.988258313,3.962199645000105,20.83135554999996,7.398121891999963,0.8103764059999996,30.703998147999926,0.9690784919999942,0.6950658080000096,0.001,0.06859183998994874,0.029796857315552792,0.0645059714255731,False,,1051,92928,0,0.8916862899999956,42.82222222222222,75.0,7.711111111111111,17.0,45.0,9511029760.0,20201865216.0,8.857836723327637,18.814453125
2,0.04980767764068996,0.05866382610710228,42.684710028,3.809796769999963,18.15595561800002,6.755013377000068,0.7351690140001068,27.140265998000203,0.8587947999999983,0.6353331890000078,0.001,0.06059858282960038,0.031213434588189953,0.09757010440184562,False,,2060,92928,0,0.12351188200000252,49.02439024390244,69.0,8.829268292682928,14.0,41.0,9511033856.0,20201865216.0,8.857840538024902,18.814453125
3,0.03837781146517634,0.04360329403596766,41.031923355,3.7792503390002707,17.275186313999853,6.241360673000116,0.6900766510000835,25.620681631000082,0.8389097530000242,0.5751482400000043,0.001,0.05044265683388599,0.026137078979533313,0.0906489167812138,False,,3069,92928,0,0.11556274699998426,50.333333333333336,71.0,9.051282051282051,16.0,39.0,9511033856.0,20201865216.0,8.857840538024902,18.814453125
4,0.03318188364614961,0.04284684765426552,44.668357533999995,4.222003239000173,19.1567583450001,7.091780526000036,0.8484335460003081,28.574837207000428,0.8659349079999856,0.6119298819999983,0.001,0.047713971879713934,0.024069973064600982,0.08823197364095603,False,,4078,92928,0,0.11665116599999692,46.26190476190476,69.0,8.476190476190476,14.0,42.0,9511033856.0,20201865216.0,8.857840538024902,18.814453125
5,0.030499484384889117,0.04210135009249344,44.057205245999995,4.242929759000219,18.830898560000236,7.004108490999698,0.8394151480000005,28.047187504999897,0.8157575919999829,0.5570077139999796,0.001,0.0396390718034587,0.020475817041949153,0.08603458348350633,False,,5087,92928,0,0.12181375000000116,46.595238095238095,72.0,8.714285714285714,18.0,42.0,9511027200.0,20201865216.0,8.857834339141846,18.814453125
6,0.0282287931136438,0.0369130102917552,40.15802411699997,3.585703343999711,16.850202630000013,6.080202222999873,0.6567725960002804,24.983406060000192,0.8173378330000105,0.5788907780000159,0.001,0.04068209385306811,0.020563497863035705,0.08309434348994649,False,,6096,92928,0,0.11426874199997883,52.578947368421055,82.0,9.710526315789474,20.0,38.0,9511033856.0,20201865216.0,8.857840538024902,18.814453125
7,0.026884539596756955,0.03737993439769044,40.2553752,3.6380960170000094,16.848392552000178,6.072811158000263,0.6597483689998853,24.992634067000324,0.8360217489999968,0.5756602390000012,0.001,0.03833655922769714,0.019157927381844676,0.07959970667989147,False,,7105,92928,0,0.11390368200000012,51.31578947368421,63.0,9.394736842105264,15.0,38.0,9511027200.0,20201865216.0,8.857834339141846,18.814453125
8,0.025573234302158528,0.03655254999723505,40.266942803000006,3.599614787999826,16.84614327899976,6.049570349000817,0.6461049159995582,25.023457744000154,0.8350395020000292,0.6465996979999886,0.001,0.036679472268245,0.0186414152533511,0.07648098537881677,False,,8114,92928,0,0.11873810700001286,51.69230769230769,72.0,9.461538461538462,16.0,39.0,9511033856.0,20201865216.0,8.857840538024902,18.814453125
9,0.025580181701739958,0.03847651364391341,39.95225190299999,3.604501634000485,16.723017297000524,5.968561108000017,0.6289260490008246,24.695901757001366,0.8158945629999721,0.5595027400000276,0.001,0.03500516229951169,0.01789788799630332,0.07828604139961912,False,,9123,92928,0,0.11974956900002098,50.578947368421055,55.0,9.105263157894736,11.0,38.0,9511033856.0,20201865216.0,8.857840538024902,18.814453125
10,0.024761932576203478,0.03464159396860529,40.426343215999964,3.6753633330010302,16.913229089000083,6.090812394999659,0.6601609630001803,25.041250159999947,0.8126814870000203,0.5643662260000042,0.001,0.03670212558325856,0.018256583450913,0.07290181868496702,False,,10132,92928,0,0.10959396900000229,51.794871794871796,82.0,9.35897435897436,21.0,39.0,9511033856.0,20201865216.0,8.857840538024902,18.814453125
