design_id,family,description,app_id,run_id,status,failure,epochs_expected,epochs_observed,setup_wall_s,param_count,train_rows,val_rows,best_val_loss,best_epoch,last_val_loss,last_epoch_wall_s,sll_a02,sll_a24,flr_a02,flr_a24,nfl_a02,nfl_a24
DP00,presto,Directness P00 legacy triple/triple,ap-fw9OUwMKH07zi2bilr2ql7,broad-frontier-r4-test-dp00-20260312a,failed,oom,5,0,47.513700309,18688852,32855,8194,,,,,,,,,,
DP01,presto,Directness P01 shared_base_segment_residual triple/triple,ap-5tgDoQM3iScmeKTFEPCkMV,broad-frontier-r4-dp01-20260312a,failed,oom,5,0,57.622547996,18689236,32855,8194,,,,,,,,,,
DP05,presto,Directness P05 shared_base_segment_residual triple_plus_abs/triple,ap-F1r5p3ZFFP8oca2ih15d0h,broad-frontier-r4-dp05-20260312a,completed,,5,5,56.964498707,18689236,32855,8194,1.9730181815447632,5,1.9730181815447632,111.93168736899997,50.76442742462006,6759.833943093603,44.69022346997051,6820.332711653462,736.1021973729536,816.6732674274939
DG1,groove,Directness G1 groove transformer,ap-FvIy5xZplxQmd4rlCRnwLU,broad-frontier-r4-dg1-20260312a,completed,,5,5,,625793,32855,8194,0.8000188740816984,5,0.8000188740816984,,30.983321094386735,31225.4526917243,9.536943677789989,1372.3217300784452,2931.920017935103,7.007935800090466
PP00,presto,Positional P00 start_only,ap-If4mJG3omFVYYLnXBZtEGa,broad-frontier-r4-pp00-20260312a,completed,,5,5,63.817471368,5154788,32855,8194,1.3795054759140368,5,1.3795054759140368,105.44820460199998,37.85581751238803,35471.11028334484,36.3522767682606,13790.674087709795,20351.039510136892,695.8130671696016
PP01,presto,Positional P01 end_only,ap-UeyhKxZXDVvsj5Sz4dxVtg,broad-frontier-r4-pp01-20260312a,completed,,5,5,48.317423703,5154788,32855,8194,1.305063627936222,5,1.305063627936222,85.17024137199996,49.25210244854415,11406.183400432472,24.96870898777436,8755.775096633342,990.9925394670853,94.60529232061488
PP02,presto,Positional P02 start_plus_end,ap-cbsskgISN09jLtSyahioj3,broad-frontier-r4-pp02-20260312a,completed,,5,5,41.751256512000005,5154788,32855,8194,1.2571966419065441,5,1.2571966419065441,78.18910944100003,36.277835003115364,8864.062092427594,72.34140194217913,775.0431052658963,3783.815688957241,242.9741299733084
PP03,presto,"Positional P03 concat(start,end)",ap-jUjT8uW6Ga6MdXPan2qgSi,broad-frontier-r4-pp03-20260312a,completed,,5,5,68.819697579,5154788,32855,8194,1.3866451768963426,5,1.3866451768963426,116.17579518100001,138.90712222264946,16914.608399891426,32.57247514916711,941.6972136397113,6392.022768794595,299.1836411230821
PP04,presto,"Positional P04 concat(start,end,frac)",ap-dJUPtRSvy67psuqChX4j7R,broad-frontier-r4-pp04-20260312a,completed,,5,5,60.741699701,5154788,32855,8194,1.5946127435675375,2,1.6763143031685441,108.03390794400002,71.10093390266802,3011.2902159173677,28.21017862611151,618.2232369379705,931.2036838108704,2336.5090458010454
PP05,presto,"Positional P05 mlp(concat(start,end))",ap-o84J2Y4CiPvAPVWDmQ0bPO,broad-frontier-r4-pp05-20260312a,completed,,5,5,60.92539669799999,5154788,32855,8194,1.3039457163325063,5,1.3039457163325063,104.43358833299993,107.55102209795004,2793.648492051221,69.1560848626266,158.78160238912056,11317.289065507008,40.952135556129086
