run_id,label,epoch,epoch_time_s,train_grad_norm_output,train_loss,train_loss_mhcflurry,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_f1,val_loss,val_n_samples,val_pearson,val_precision,val_recall,val_rmse_log10,val_spearman,display_label
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,1,3.08,0.029165471079530287,0.07467689542252509,0.07467689542252509,0.7962480187416077,0.8011555671691895,0.8776614665985107,0.7859828472137451,0.7419141785482418,0.05072597204707563,1919,0.6939586997032166,0.7483355402946472,0.735602080821991,1.1241014003753662,0.7059917449951172,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,2,1.98,0.02490032456250342,0.046708141255085586,0.046708141255085586,0.8160500526428223,0.8354014754295349,0.9025236964225769,0.8214863538742065,0.7859308522585526,0.04392265481874347,1919,0.7473078966140747,0.7322033643722534,0.8481675386428833,1.044507384300232,0.7503371238708496,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,3,1.93,0.020600023049647448,0.04212091240237971,0.04212091240237971,0.8285565376281738,0.849649965763092,0.9122844338417053,0.8363069593906403,0.8024024031397027,0.04061801731586456,1919,0.7706114649772644,0.7413984537124634,0.8743455410003662,1.0034886598587036,0.76728355884552,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,4,1.97,0.0202117062127981,0.03866725927982174,0.03866725927982174,0.8488796353340149,0.8578101396560669,0.9170576333999634,0.8436634540557861,0.8116883092345583,0.03682921500876546,1919,0.78927081823349,0.8054123520851135,0.8180628418922424,0.9586164951324463,0.7806863188743591,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,5,2.24,0.01578754014106559,0.036141498014330864,0.036141498014330864,0.8405419588088989,0.8647257089614868,0.9216620326042175,0.8444912731647491,0.8118080976663989,0.03570900438353419,1919,0.7990824580192566,0.7656612396240234,0.8638743162155151,0.9434264302253723,0.7913027405738831,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,6,1.94,0.014831002152784437,0.034268892660248476,0.034268892660248476,0.8572173118591309,0.8717265725135803,0.9231295585632324,0.8508113920688629,0.8204455885700127,0.03373500518500805,1919,0.8087562322616577,0.8215222954750061,0.8193717002868652,0.9156218767166138,0.7984994649887085,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,7,1.95,0.018178726111340228,0.03364402556517085,0.03364402556517085,0.8535695672035217,0.8726306557655334,0.9257655143737793,0.8491104245185852,0.8181229824961953,0.03323916136287153,1919,0.8113096952438354,0.8092189431190491,0.8272251486778259,0.9106671810150146,0.8012345433235168,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,8,1.95,0.012440798609502247,0.032104883801008836,0.032104883801008836,0.8530484437942505,0.8694398403167725,0.924765944480896,0.8515576422214508,0.8206106785813309,0.03295211656950414,1919,0.8129428029060364,0.7982673048973083,0.8442408442497253,0.9053509831428528,0.8033679127693176,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,9,1.94,0.01313978566055293,0.03110710552847776,0.03110710552847776,0.8566961884498596,0.8726440072059631,0.9271299242973328,0.8554741442203522,0.8251748461435238,0.03245271136984229,1919,0.8164147734642029,0.8022249937057495,0.8494764566421509,0.8986172080039978,0.8067143559455872,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,10,1.93,0.010699444351198732,0.03038095957675918,0.03038095957675918,0.8603439331054688,0.8734068870544434,0.9268738031387329,0.8534087836742401,0.8236841968065152,0.03256273875012994,1919,0.8165967464447021,0.8280423283576965,0.8193717002868652,0.899611234664917,0.8067687749862671,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,11,1.94,0.013028108430873663,0.030167995417704346,0.030167995417704346,0.8619072437286377,0.8742010593414307,0.9278643131256104,0.859803169965744,0.8304542652254401,0.0321474582888186,1919,0.8186735510826111,0.8122653365135193,0.8494764566421509,0.8928359150886536,0.8095798492431641,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,12,1.95,0.011956795508072514,0.029513287831281054,0.029513287831281054,0.854090690612793,0.8754342198371887,0.9267843961715698,0.8459984958171844,0.8148148080118656,0.031916498905047774,1919,0.8196197152137756,0.8235294222831726,0.8062826991081238,0.891740620136261,0.811472475528717,c01_mhcflurry_additive_max50k_d32
distributional_ba_v5_c01_20260313T183923Z,c01_mhcflurry_additive_max50k_d32,13,2.42,0.011257587974036082,0.028519328072911403,0.028519328072911403,0.8577383756637573,0.87384033203125,0.9271515011787415,0.8499149978160858,0.8195637699059781,0.03180175623856485,1919,0.8206522464752197,0.8277703523635864,0.8115183115005493,0.8888775706291199,0.8117517828941345,c01_mhcflurry_additive_max50k_d32
